Gene = Rdh
Position 850: 6.70146450655573e-05
Position 551: 6.276471555834749e-05
Position 658: 6.0480864170532656e-05
Position 1898: 5.135245741959529e-05
Position 2785: 4.628810516325175e-05
Position 316: 4.5466523525091024e-05
Position 440: 4.5329072951858956e-05
Position 77: 3.524456667761923e-05
Position 458: 3.054788487621244e-05
Position 780: 2.926174271299769e-05
Position 1752: 2.880488096079346e-05
Position 118: 2.8441031235168268e-05
Position 628: 2.6881705309949665e-05
Position 672: 2.6240064442198783e-05
Position 874: 2.475543086703966e-05
Position 630: 2.4311809082852875e-05
Position 529: 2.3959977813708633e-05
Position 50: 2.2212805264627508e-05
Position 896: 2.195729818678424e-05
Position 1593: 2.1915643512866576e-05
Position 2942: 2.0477233843556122e-05
Position 2091: 1.7351834201515947e-05
Position 741: 1.4071884477678828e-05
Position 332: 7.031718415975978e-06
Position 64: 6.501827466859421e-06
Position 88: 5.967881981689257e-06
Position 880: 5.524164320742052e-06
Position 838: 4.283341829356016e-06
Position 901: 2.276984476231853e-06
Position 691: 1.818168506640511e-06
Position 1840: 1.7565254477099728e-06
Position 977: 1.682081840789454e-06
Position 699: 1.6743605028106888e-06
Position 1775: 1.6685884482119834e-06
Position 1818: 1.3724833300709819e-06
Position 1917: 1.0734057078732467e-06
Position 134: 8.016474881481176e-07
Position 1861: 7.378845600863224e-07
Position 1838: 6.254426466548438e-07
Position 1354: 4.470077155894435e-07
Position 91: 4.3546759117416974e-07
Position 109: 4.1171179026299304e-07
Position 878: 3.934134081367907e-07
Position 100: 3.5652606144132485e-07
Position 450: 3.4196682312104847e-07
Position 1386: 3.414206701075495e-07
Position 771: 3.0240097588382583e-07
Position 1318: 2.8936569352209316e-07
Position 1114: 2.8781695775135504e-07
Position 1078: 2.729377744544536e-07
Position 121: 2.0519693869904263e-07
Position 1797: 2.0510751828919625e-07
Position 925: 1.742799435204984e-07
Position 66: 1.547277721854525e-07
Position 127: 6.61119971347248e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 1352: 0.7104348745294469
Position 2263: 0.134076088507192
Position 1367: 0.10798575251123488
Position 2938: 0.09420131759294362
Position 2235: 0.09154163214869461
Position 2332: 0.0310484034847908
Position 2283: 0.022177534577562726
Position 1270: 0.019876592006196972
Position 1971: 0.01882084878795988
Position 866: 0.012159974075049838
Position 1124: 0.01130902372491417
Position 1749: 0.010024626214214367
Position 1315: 0.007138728811504181
Position 2144: 0.006719834022972243
Position 1301: 0.005819515991319007
Position 1852: 0.0035999726395760582
Position 2451: 0.0022575135419033616
Position 1451: 0.0018621876099976075
Position 1318: 0.0018488254821702116
Position 2380: 0.0017426707357340622
Position 2419: 0.0016865532512651319
Position 2647: 0.001654847337763458
Position 2908: 0.0014251684262977177
Position 2959: 0.0013472265086450954
Position 2100: 0.0013185360089865042
Position 1424: 0.0012114507619245133
Position 1655: 0.001097927711335695
Position 919: 0.0009223002886440225
Position 2017: 0.0005993954149611322
Position 2358: 0.0005842705012816244
Position 1429: 0.0005506872334341449
Position 2591: 0.0005470057166581551
Position 2635: 0.000509318032199161
Position 557: 0.00041589545222854037
Position 2567: 0.00038829184883345846
Position 1032: 0.0003724252032851307
Position 2755: 0.0003618509352453831
Position 2506: 0.0003485027980576849
Position 874: 0.00023360802272979122
Position 1114: 0.00021801954659216797
Position 727: 0.00018977619240390036
Position 1247: 0.0001764028774303412
Position 2823: 0.00012739341985036688
Position 2503: 0.00011622620754052918
Position 2489: 0.00011028474293016796
Position 2114: 9.806698182491959e-05
Position 3049: 9.098102556284946e-05
Position 2583: 8.37774888263907e-05
Position 771: 7.855669144812896e-05
Position 1772: 7.575389116200624e-05
Position 3007: 5.9524038002336536e-05
Position 938: 5.6992397276007175e-05
Position 658: 4.5664337989148654e-05
Position 626: 4.446333563363133e-05
Position 1979: 3.990045589549391e-05
Position 2784: 3.270119352085996e-05
Position 925: 3.064995547802495e-05
Position 1245: 3.0338899184713883e-05
Position 1756: 1.611716542778145e-05
Position 478: 1.596891342966002e-05
Position 1155: 1.057674534339583e-05
Position 1522: 1.0427998353406115e-05
Position 140: 8.783564444801351e-06
Position 923: 5.730302892190085e-06
Position 1150: 3.890076991496373e-06
Position 570: 3.031199211789155e-06
Position 665: 2.6740003194649204e-06
Position 371: 2.1726072218394003e-06
Position 507: 1.4237418951017452e-06
Position 1227: 1.1741291814282385e-06
Position 940: 9.938087645155281e-07
Position 365: 9.565043640231418e-07
Position 1471: 8.337298045802451e-07
Position 504: 7.347162538498128e-07
Position 480: 3.8006653966808674e-07
Position 149: 3.651612896698913e-07
Position 598: 3.1122305897936716e-07
Position 106: 1.969399081939625e-07
Position 699: 1.5453732016328667e-07
Position 152: 4.321457650312726e-08
Position 118: 2.9351980576324742e-08
Position 1141: 2.274193830048743e-09
Position 684: 1.3150156883971354e-09
Position 706: 1.2583874606707286e-09
Position 610: 1.885423520133049e-10
Position 628: 1.4209893179695214e-10
Position 341: 7.72982537236721e-11
Position 158: 4.210071021562794e-11
Position 292: 3.5779858394936977e-11
Position 161: 1.2497654817242034e-11
Position 559: 9.353581308251756e-12
Position 401: 7.618804806822421e-12
Position 167: 4.664617257382346e-12
Position 170: 3.2801465966990816e-12
Position 245: 3.200497811580778e-12
Position 606: 3.1877093946995353e-12
Position 221: 2.3876581581905127e-12
Position 332: 2.1148522050906764e-12
Position 388: 1.6661886541284758e-12
Position 242: 1.5833010977376331e-12
Position 164: 1.5219643374768454e-12
Position 224: 1.474901849663696e-12
Position 1189: 7.0049131922535475e-15
