Gene = mTTF
Position 359: 1.9181036050517776e-06
Position 94: 1.742141750330256e-06
Position 1497: 1.4551601672753184e-06
Position 245: 1.0619698594856321e-06
Position 773: 7.461093153019145e-07
Position 91: 7.105223532077722e-07
Position 223: 5.262859214555575e-07
Position 567: 3.6966607643075925e-07
Position 208: 3.282666052728968e-07
Position 211: 2.840599922543384e-07
Position 1365: 2.809517699325024e-07
Position 448: 2.7184004412658413e-07
Position 374: 2.2792968139151148e-07
Position 435: 9.95915772455299e-08
Position 202: 6.486192420162718e-08
Position 1472: 5.963012902366743e-08
Position 445: 4.6378524633164694e-08
Position 284: 3.015811476299013e-08
Position 1481: 2.3242059390118434e-08
Position 493: 1.3820364451276293e-09
Position 681: 3.60308972397156e-10
Position 464: 1.9596711762583995e-10
Position 437: 3.944219387584309e-11
Position 497: 1.0953548338498157e-11
