Gene = Pi3K21B
Position 3963: 1.676204064483236e-05
Position 347: 1.6408894586107072e-05
Position 290: 1.6402599213573142e-05
Position 40: 1.4620594261479788e-05
Position 805: 1.3303209688107755e-05
Position 259: 1.0614881355413258e-05
Position 2302: 9.993382724061931e-06
Position 2462: 8.871463079325469e-06
Position 2043: 6.6029510414259185e-06
Position 315: 3.8548536536470345e-06
Position 310: 3.727759229954408e-06
Position 284: 3.3770588528050282e-06
Position 536: 3.035377531463266e-06
Position 113: 2.861793016546005e-06
Position 569: 2.329921899152671e-06
Position 110: 2.0298620310124872e-06
Position 841: 1.7401796773972173e-06
Position 844: 1.6600114593106501e-06
Position 4269: 1.53224955909953e-06
Position 2580: 1.491207716583735e-06
Position 253: 1.3765884821742747e-06
Position 247: 1.1699244497924922e-06
Position 2015: 8.892887236373964e-07
Position 272: 8.718742236739734e-07
Position 675: 8.50831530207476e-07
Position 2056: 7.087661883484682e-07
Position 2676: 4.177757674234065e-07
Position 245: 3.697802253757157e-08
Position 2785: 2.834571445993457e-08
Position 308: 8.507068297277573e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 1152: 0.9808048013399078
Position 4883: 0.34791338658919996
Position 243: 0.3397231500826486
Position 3009: 0.23842049543025357
Position 7149: 0.18885254628233134
Position 4145: 0.14348297534798587
Position 2100: 0.0630756489965364
Position 7350: 0.058751315941150684
Position 7132: 0.052198166454263305
Position 3410: 0.049337519778700024
Position 850: 0.042681300346387445
Position 4849: 0.029115213449359356
Position 7170: 0.02796075196145478
Position 2867: 0.02401411819481389
Position 4103: 0.02014761243952142
Position 4197: 0.019299722769681008
Position 3072: 0.018193953537971114
Position 6881: 0.016898376914297478
Position 4596: 0.01437202333788957
Position 2130: 0.01431194167926951
Position 796: 0.012713923012633018
Position 3962: 0.01248529075457099
Position 253: 0.01174671973286634
Position 3553: 0.011220505193913008
Position 3357: 0.011029924207593375
Position 2669: 0.010749626754667823
Position 2162: 0.010563355836104349
Position 1766: 0.010277243569750696
Position 3192: 0.009337806253572868
Position 6968: 0.008371545159524959
Position 5668: 0.006594779107260837
Position 2919: 0.006218241726910129
Position 7118: 0.005826061200091473
Position 2735: 0.005581788278307583
Position 1745: 0.00516329193463268
Position 5073: 0.005080437459666214
Position 4170: 0.00475880387834228
Position 3182: 0.0047496616519400675
Position 2798: 0.004512033066648424
Position 2357: 0.004366371021879987
Position 1193: 0.00407575328555736
Position 470: 0.004024759025502607
Position 147: 0.003925434631007768
Position 5124: 0.003257147601128079
Position 5746: 0.0029748651775091924
Position 2641: 0.0024392013496300174
Position 4014: 0.002333676051323958
Position 7231: 0.002272707489310383
Position 426: 0.0021987565470759935
Position 3379: 0.0021241667626965962
Position 2509: 0.0020240298671300194
Position 4921: 0.0019745333370943803
Position 958: 0.00196726162442354
Position 2444: 0.0019441745744343698
Position 1910: 0.0017937275351519186
Position 121: 0.0015942128668524516
Position 3109: 0.0015580060626941574
Position 3387: 0.001510710598593194
Position 3115: 0.0014971828730085414
Position 2575: 0.0013697833664523568
Position 6727: 0.0013358387765078944
Position 5953: 0.0013165853533876207
Position 5348: 0.0012219521776818418
Position 2773: 0.0010908862442491746
Position 2851: 0.0010585919922984825
Position 1472: 0.0010146341337587473
Position 1475: 0.0009239099392954768
Position 3595: 0.0009236553243014538
Position 2134: 0.0008003634718411137
Position 6280: 0.0007317424709747892
Position 2166: 0.0006704305365620624
Position 816: 0.0006319859627640907
Position 3094: 0.0006034082500591619
Position 438: 0.0005090549670952987
Position 2155: 0.0005079262117332996
Position 3994: 0.0004984626196096885
Position 1836: 0.00046894614786273554
Position 2224: 0.0004638393659157438
Position 2956: 0.0004441587721741541
Position 2186: 0.00042489029877576246
Position 302: 0.00040804696023921775
Position 340: 0.0003213580683611318
Position 2601: 0.0003211638789287733
Position 3615: 0.00031630808609357444
Position 513: 0.00031491898493458525
Position 1797: 0.0002948972185292787
Position 432: 0.00027842605043352896
Position 2831: 0.00026075828389596857
Position 914: 0.0002585064630760043
Position 750: 0.00024044056658676307
Position 3875: 0.00022636520529994666
Position 667: 0.00021321429853000487
Position 1600: 0.00020812567183739656
Position 2407: 0.0002076612183834454
Position 2974: 0.00019036365595201087
Position 2148: 0.0001733132297174505
Position 3701: 0.00016414695324209593
Position 3302: 0.00014681580514067287
Position 3493: 0.00013219582488351424
Position 375: 0.00013031687896245878
Position 3198: 0.00012570349752984248
Position 865: 0.00012316689911107733
Position 1719: 0.00011175574099114166
Position 779: 0.00010984355098356178
Position 2644: 0.00010785167348790949
Position 1367: 8.821932823539195e-05
Position 884: 8.669379746728418e-05
Position 2085: 4.9132965368486284e-05
Position 2491: 4.8061090991168545e-05
Position 180: 3.218011904789597e-05
Position 1800: 3.194179177211837e-05
Position 575: 3.133417928247345e-05
Position 589: 2.783510853895711e-05
Position 558: 2.4072825990166966e-05
Position 2472: 2.277527881617758e-05
Position 781: 2.109380936372077e-05
Position 2075: 2.0056282897007217e-05
Position 2753: 1.7863876675844114e-05
Position 1724: 1.7244600054996498e-05
Position 479: 1.235639511788424e-05
Position 1499: 1.1559286680111144e-05
Position 404: 1.1447294021827483e-05
Position 3204: 1.0634940422817155e-05
Position 1309: 1.0375208417482645e-05
Position 1042: 9.410039222666108e-06
Position 1916: 8.935910613082357e-06
Position 414: 8.469741445197939e-06
Position 763: 8.10857040730815e-06
Position 344: 7.540388082582086e-06
Position 1412: 7.4717211713887515e-06
Position 2488: 7.362309992147286e-06
Position 1298: 5.585703857008347e-06
Position 333: 4.451401471887405e-06
Position 381: 3.764024534129081e-06
Position 2879: 3.2504226236690534e-06
Position 212: 2.357607656155464e-06
Position 1054: 1.8087262808653742e-06
Position 2462: 1.6862204145803874e-06
Position 407: 1.2160765683081633e-06
Position 485: 7.305380768049311e-07
Position 221: 7.13025457364178e-07
Position 1075: 6.436966695235012e-07
Position 1382: 6.112359431322188e-07
Position 977: 4.885122287300066e-07
Position 2887: 4.319680000218773e-07
Position 2828: 4.296295958432076e-07
Position 1346: 2.45309208892616e-07
Position 1340: 1.654966003478312e-07
Position 524: 3.398633413263903e-08
Position 528: 2.6591823335765896e-08
Position 308: 2.6438808569919075e-08
Position 579: 2.787053189070881e-09
Position 565: 2.4941503434615556e-09
Position 190: 1.038597762172159e-11
