Gene = Aef1
Position 2082: 0.10660742557773546
Position 3438: 0.09276550178010882
Position 1770: 0.07691820336976606
Position 522: 0.06928015452319784
Position 1555: 0.05868370841570648
Position 1078: 0.029577875504059745
Position 996: 0.02480724942074041
Position 105: 0.024284861443777263
Position 3739: 0.02123573687222156
Position 365: 0.019967756601756453
Position 4567: 0.019409871979767516
Position 3457: 0.01863133906843141
Position 455: 0.01691904453598295
Position 3480: 0.015668837575103938
Position 4796: 0.014686672578881956
Position 3612: 0.014114274410687086
Position 1785: 0.013012886631966213
Position 3848: 0.012406274973340129
Position 1031: 0.010829484140157268
Position 1375: 0.010009666539514826
Position 3761: 0.008970822690396783
Position 4207: 0.007789944374005488
Position 4471: 0.007193972532740933
Position 3415: 0.007177119716147807
Position 4799: 0.006652197932552042
Position 1210: 0.0062654774940195225
Position 1814: 0.005504848916837338
Position 3893: 0.005431895725978572
Position 111: 0.005425380709207958
Position 1152: 0.005317787792387793
Position 327: 0.00510884092235871
Position 1128: 0.0049737163075614585
Position 4069: 0.0044339220449271825
Position 3629: 0.004099913871749238
Position 3902: 0.003945183300036725
Position 2409: 0.003187021206640877
Position 1274: 0.003170331026180725
Position 1013: 0.0030817779706236417
Position 374: 0.002521866860681295
Position 3784: 0.0024255027095773335
Position 442: 0.0024036730187299753
Position 625: 0.002360237204093296
Position 477: 0.0022848277354631393
Position 4740: 0.0022527169922505513
Position 2382: 0.0021330219897905877
Position 3498: 0.0020554519179419146
Position 611: 0.0020150949508582674
Position 3880: 0.0020004481353320604
Position 1900: 0.0019041451289370133
Position 3568: 0.0017953573483408777
Position 4844: 0.0015802876625187656
Position 1266: 0.0015220931126820492
Position 146: 0.0015141249668135148
Position 2493: 0.0014296743491734724
Position 3495: 0.0013840783262116913
Position 1560: 0.0013621076282948454
Position 590: 0.0013319372343640597
Position 4931: 0.0012459498089283842
Position 4012: 0.0011758432747946185
Position 683: 0.0011639790987333005
Position 2252: 0.001069300477993925
Position 2538: 0.0010501346945000697
Position 764: 0.0009815553582362936
Position 4991: 0.0008996840323706233
Position 694: 0.0008354556651909123
Position 1751: 0.0007338231924844389
Position 3833: 0.0007258416616271402
Position 2454: 0.0006968461219229476
Position 3468: 0.0006842303949938818
Position 1932: 0.0006716802718036741
Position 2131: 0.0006355454366084248
Position 2658: 0.0005473974781779536
Position 702: 0.0005167950509200218
Position 1101: 0.0004784358006214026
Position 1501: 0.00046156675998714364
Position 3648: 0.0004608094246755055
Position 117: 0.0004346445723913953
Position 1225: 0.0004189743828508188
Position 4042: 0.00041214725013322584
Position 3184: 0.0003925878413271531
Position 1873: 0.00038356271163750863
Position 2234: 0.00033188130125859415
Position 4609: 0.00030475314426392784
Position 1335: 0.0002551199069529267
Position 1505: 0.0002420389834607125
Position 506: 0.00022310457408022355
Position 4186: 0.00022026965965805568
Position 1675: 0.00021524108790038691
Position 919: 0.00020747709819646134
Position 5094: 0.0002054097332612149
Position 3931: 0.00019673973485478805
Position 2093: 0.00019231187159565402
Position 1394: 0.00018369850588749714
Position 1789: 0.00015668388913354033
Position 3591: 0.00015238792081516208
Position 2760: 0.0001506740770964057
Position 811: 0.0001478157159774582
Position 1717: 0.00014161100505701645
Position 1663: 0.0001334178131171688
Position 403: 0.00013104837395173737
Position 3680: 0.00012665017786430555
Position 1700: 0.00010967170881590404
Position 1683: 0.00010473223450831705
Position 1312: 0.00010350217826246405
Position 901: 9.543908438418983e-05
Position 1612: 9.355711486984035e-05
Position 2853: 8.538875648769333e-05
Position 1386: 8.269849568444068e-05
Position 1971: 7.468473180576184e-05
Position 177: 7.401334492637269e-05
Position 1229: 7.169110427820967e-05
Position 4264: 6.988521172549491e-05
Position 2685: 5.3757110406200255e-05
Position 425: 4.4830565337467394e-05
Position 3792: 4.453908195291676e-05
Position 3971: 4.048826312846357e-05
Position 2682: 3.7566011775935925e-05
Position 1315: 2.332594467115407e-05
Position 1339: 1.8107551667810125e-05
Position 531: 1.705557033373827e-05
Position 709: 1.3180538101811201e-05
Position 248: 1.015983478601855e-05
Position 662: 9.943961475093267e-06
Position 2688: 9.848671462426838e-06
Position 283: 5.48454543418527e-06
Position 528: 4.4336010242561755e-06
Position 3156: 4.237675829011385e-06
Position 279: 4.084599653208736e-06
Position 2826: 3.1998048388520455e-06
Position 838: 3.105400629988981e-06
Position 3028: 2.5534514932641327e-06
Position 879: 2.065732755872052e-06
Position 916: 2.0548639987521945e-06
Position 259: 1.999478641121022e-06
Position 2770: 1.943610883020191e-06
Position 1321: 1.5528452983542956e-06
Position 736: 1.5502636275024575e-06
Position 630: 1.2085975474358089e-06
Position 566: 1.1347123923619482e-06
Position 3117: 4.719361039606372e-07
Position 264: 3.814866798687e-07
Position 2859: 2.918461663744068e-07
Position 2697: 2.3120204625286754e-07
Position 307: 1.3903070131369423e-07
Position 130: 1.345825620196136e-07
Position 408: 1.0192159492439676e-07
Position 444: 9.041297413163738e-08
Position 768: 3.5775051215886775e-08
Position 552: 4.67025293894221e-09
Position 315: 3.1191335667714927e-09
Position 56: 2.7915341935869496e-09
Position 541: 1.5480841316421374e-09
Position 206: 6.503243670640372e-10
Position 151: 4.774927758664622e-10
Position 554: 4.4165149716841113e-10
Position 153: 3.101393305776176e-13
Position 309: 3.196551435111834e-14
