Gene = RtcB
Position 109: 1.6674629587355975e-08
Position 277: 2.8079897591577607e-09
Position 703: 2.7351514811985994e-10
Position 712: 2.5206236910569013e-10
Position 173: 6.717733575949121e-12
Position 154: 2.2978750699316175e-12
Position 120: 6.95037898030025e-13
Position 169: 6.338090634020403e-13
Position 177: 2.3734489920399018e-14
Position 122: 1.710069728769206e-14
