Gene = Shc
Position 682: 1.20990068544732e-06
Position 1217: 1.1863858324643856e-06
Position 267: 7.110982786739685e-07
Position 1226: 6.697018608192119e-07
Position 378: 6.168645418221059e-07
Position 542: 2.7565684068815534e-07
Position 182: 1.5217015672228845e-07
Position 96: 1.3553104056106794e-07
Position 93: 9.144817775315065e-08
Position 261: 3.4288722497545096e-08
Position 345: 1.2765169807438929e-09
Position 800: 6.478427509185157e-10
Position 433: 5.341676421505699e-10
Position 164: 3.2982134245082663e-10
Position 380: 1.1379582726693922e-10
Position 342: 9.523850259374722e-11
Position 329: 3.127262775646677e-11
Position 635: 6.222634210037641e-12
Position 686: 5.474014244063218e-12
Position 319: 4.689370245818334e-12
Position 336: 2.556590187942311e-13
Position 323: 1.691355278637851e-22
