Gene = Hr38
Position 2718: 0.0001884442653545931
Position 539: 0.00018190195470858798
Position 1586: 0.00017436856664988003
Position 1014: 0.00016974315046813606
Position 796: 0.00016547376272947424
Position 27005: 0.0001547940153129768
Position 2816: 0.0001450994727021154
Position 28706: 0.00013968854743607939
Position 572: 0.00012952171359299742
Position 1584: 0.00012587770539991024
Position 1240: 0.00011440508787295093
Position 593: 0.00011042059562909672
Position 688: 0.00011000170197112255
Position 1817: 0.00010657933477561295
Position 650: 9.055482396682056e-05
Position 2050: 9.008543150357731e-05
Position 574: 8.569251431832834e-05
Position 1927: 7.791618392344392e-05
Position 2990: 7.317636991463327e-05
Position 28568: 6.561723674451759e-05
Position 1226: 6.559610734412262e-05
Position 1882: 6.501063874879374e-05
Position 2714: 6.284696528331446e-05
Position 28127: 5.86315235342677e-05
Position 1616: 5.77335653213577e-05
Position 1051: 5.473958017089768e-05
Position 790: 5.413317319788886e-05
Position 28722: 4.8468262001256164e-05
Position 27890: 4.76932597481943e-05
Position 27136: 4.539066507937402e-05
Position 1016: 4.4468157101952536e-05
Position 2611: 4.4461535273508365e-05
Position 1807: 4.399511622678847e-05
Position 222: 4.2942488144671565e-05
Position 656: 4.0251726100520026e-05
Position 28298: 3.953763695853302e-05
Position 681: 3.8978643997685574e-05
Position 204: 2.743100818364817e-05
Position 1152: 2.1560303897966413e-05
Position 393: 2.011965404685092e-05
Position 421: 1.7648193730625337e-05
Position 26813: 1.6784113757671625e-05
Position 578: 1.6751676775508904e-05
Position 1083: 1.5127649424318924e-05
Position 1563: 1.4603938710779934e-05
Position 7: 1.139476893772375e-05
Position 2110: 8.446937966038467e-06
Position 499: 8.335006299403033e-06
Position 2147: 3.0094514246942516e-06
Position 28620: 2.5458881462381954e-06
Position 26411: 1.046047276454105e-06
Position 604: 9.52011206360509e-07
Position 610: 9.447464473348681e-07
Position 586: 8.533901757725564e-07
Position 26792: 7.399748283088653e-07
Position 28685: 6.83293542543172e-07
Position 28521: 5.924815594514622e-07
Position 28416: 5.493330616614909e-07
Position 26609: 3.243245947434928e-07
Position 26645: 3.0935007631728013e-07
Position 27758: 4.00678092345274e-08
Position 548: 3.02659848424141e-08
Position 155: 1.9242324706275155e-08
Position 576: 1.8425545792784788e-08
Position 225: 1.601634861092354e-08
Position 274: 1.2251586339111166e-08
Position 455: 1.2171795969294186e-08
Position 554: 7.101156974421495e-09
Position 228: 5.071973700077531e-09
Position 194: 2.3820820008937545e-09
Position 243: 1.909466371019943e-09
Position 251: 7.132339264813667e-10
Position 950: 1.972714064455454e-11
Position 8448: 4.4039066781585454e-15
Position 8454: 3.8055964229513984e-15
Position 8107: 2.9387612191580742e-15
Position 8431: 1.210782419475851e-15
Position 8054: 4.3732698760065865e-16
Position 7325: 4.0330505627549563e-17
Position 5859: 2.7980630288179934e-17
Position 7351: 2.5637126634818986e-17
Position 1933: 1.1630607775824814e-21

Sorted 3' Splice Sites (High to Low Probability):
Position 26251: 0.9762036788319138
Position 24131: 0.9754087762427381
Position 27521: 0.9241107185285501
Position 24986: 0.8877601949421824
Position 1668: 0.22875291151421398
Position 24605: 0.21464619739136814
Position 28848: 0.059497462401069796
Position 27823: 0.04475688863241483
Position 2912: 0.04392520073763798
Position 29344: 0.03543211199618761
Position 30725: 0.03103676325182319
Position 28604: 0.022450639679621968
Position 663: 0.021146646019969993
Position 27421: 0.01995940404131646
Position 28666: 0.01685767507153082
Position 26193: 0.016500353810169066
Position 2295: 0.012793946255424755
Position 25109: 0.010122756336099395
Position 30058: 0.00985087445918527
Position 25106: 0.009066179381230255
Position 28379: 0.008403971552342557
Position 26515: 0.00823888839701986
Position 30857: 0.00807755837914326
Position 27457: 0.007248640797838104
Position 30150: 0.0072440187191821865
Position 24830: 0.006203798195997171
Position 3056: 0.005786973683648244
Position 1276: 0.005764036864847427
Position 29163: 0.004644150129313995
Position 28472: 0.004575895950243146
Position 24754: 0.004304862115847131
Position 28521: 0.003954078169619038
Position 1695: 0.003932566505801472
Position 2213: 0.0035573927692262603
Position 29789: 0.0034039078750588247
Position 28973: 0.003342093186495901
Position 27946: 0.00321257738772148
Position 29323: 0.0030259718207465524
Position 29863: 0.0029948335630439527
Position 24660: 0.0028961679843162945
Position 30562: 0.0026877268579570696
Position 29997: 0.0024961805278755442
Position 26212: 0.0021856514207121047
Position 871: 0.0021232893833801887
Position 29130: 0.0021072478702004777
Position 2863: 0.001964524354538706
Position 27844: 0.0019497163096227003
Position 27922: 0.0019008715480663225
Position 26764: 0.0018973025644326521
Position 30478: 0.0018248706560449542
Position 2956: 0.0017535705641376252
Position 29287: 0.0017205892793939208
Position 909: 0.0016424061068268372
Position 30688: 0.0016033746681246614
Position 1459: 0.0015426064804174781
Position 29720: 0.0014562618826322836
Position 28890: 0.0013427112062700658
Position 1510: 0.001297510058435897
Position 29648: 0.001206148189729127
Position 29145: 0.0011286795594794645
Position 27853: 0.001019540801928044
Position 29492: 0.0009705783564666981
Position 29515: 0.0009518821093631136
Position 29537: 0.0009334600715205527
Position 30323: 0.0008827111763877091
Position 29237: 0.0008728546732319232
Position 2967: 0.0007994035092684654
Position 2307: 0.0007236511561627359
Position 26204: 0.0006878803154845897
Position 823: 0.0006704367067321905
Position 3133: 0.0006244933475787414
Position 28829: 0.0005844758696797195
Position 2486: 0.0005667414853505483
Position 441: 0.0005582536185255551
Position 30571: 0.0005070506304437913
Position 30426: 0.0005007241508348678
Position 29534: 0.0004980952161080951
Position 3020: 0.0004903501510934383
Position 1337: 0.000480384713370777
Position 27869: 0.000467642967003887
Position 27474: 0.00045689558165652326
Position 3145: 0.0004539331716663232
Position 29461: 0.00043187804518284457
Position 27778: 0.0004226928904223393
Position 3059: 0.00042124019202159526
Position 1157: 0.00039400418633736664
Position 28547: 0.0003725121546162365
Position 350: 0.0003599281835658797
Position 30070: 0.00028963501702280585
Position 27480: 0.000266425638215783
Position 2993: 0.00025258659334654893
Position 26432: 0.0002443437118088578
Position 28807: 0.00023096914056923982
Position 426: 0.00021338547918829835
Position 27994: 0.00020032712908526695
Position 28351: 0.00019989266595065542
Position 27983: 0.00019323641198100249
Position 29708: 0.00017411351377874426
Position 1340: 0.00017352511068511567
Position 26311: 0.00016961887431735976
Position 1280: 0.00015223360740523455
Position 1307: 0.0001521169208268411
Position 28716: 0.00015008338391021917
Position 1304: 0.00013676957229569547
Position 27582: 0.000132530280388938
Position 3102: 0.00012663355826512276
Position 2770: 0.00012610896297910023
Position 686: 0.0001214344439608696
Position 28813: 0.00012063688955712307
Position 29260: 9.92619864740775e-05
Position 28626: 9.490148046378306e-05
Position 672: 8.472118144089674e-05
Position 29149: 8.373569968452665e-05
Position 782: 8.239683791857172e-05
Position 29233: 8.154783575820176e-05
Position 27831: 8.09390544792436e-05
Position 1491: 7.536196694136098e-05
Position 1240: 6.697876083087012e-05
Position 160: 6.279307719338267e-05
Position 935: 5.4778526240283876e-05
Position 481: 5.3320539104117174e-05
Position 27893: 4.728293885457041e-05
Position 28298: 3.723487346772481e-05
Position 27694: 3.423413147060299e-05
Position 499: 3.3502826179254904e-05
Position 28354: 3.151402078790371e-05
Position 28342: 2.9776763181340092e-05
Position 950: 2.939879952000086e-05
Position 1196: 2.838343844635478e-05
Position 28211: 2.8127952170683706e-05
Position 754: 2.7865910217693106e-05
Position 475: 2.7078619989950425e-05
Position 749: 2.6437119007526752e-05
Position 1012: 2.6343708500836712e-05
Position 270: 2.5246427728377567e-05
Position 468: 2.2945672780207323e-05
Position 2369: 2.292928355678378e-05
Position 681: 2.221126266007594e-05
Position 1001: 2.134050486102163e-05
Position 27884: 2.1125707643413155e-05
Position 27988: 2.0202896536601483e-05
Position 187: 1.899639366162329e-05
Position 281: 1.4159256839760171e-05
Position 2152: 1.4154621206566283e-05
Position 222: 1.28616435140079e-05
Position 27547: 1.2582198945639547e-05
Position 989: 1.2242010038364693e-05
Position 2460: 1.2020595744623123e-05
Position 888: 1.1610870701775656e-05
Position 2259: 8.166911218517407e-06
Position 520: 6.724591487393555e-06
Position 2127: 6.705474300691491e-06
Position 593: 6.236695243488373e-06
Position 178: 5.99075643948899e-06
Position 584: 5.696102272649468e-06
Position 914: 5.462428967241723e-06
Position 785: 3.6953049530379493e-06
Position 1750: 1.9886085715228063e-06
Position 63: 1.5100870914768304e-06
Position 27559: 1.3685859658517e-06
Position 1794: 1.241367218168881e-06
Position 27550: 3.6260541944349215e-07
Position 202: 3.618411911202297e-07
Position 696: 2.43319679301821e-07
Position 194: 9.588313167404558e-09
Position 762: 6.968360688464673e-09
Position 542: 4.912530762517178e-09
Position 534: 4.0977662297247655e-09
Position 665: 2.8225234799277785e-09
Position 110: 2.5471692993136e-09
Position 539: 2.4634588280752914e-09
Position 204: 5.904887869421978e-10
Position 114: 5.671495463355394e-10
Position 76: 9.987406285905597e-11
Position 8532: 2.7694872196846475e-14
Position 8161: 1.3318306247378389e-14
Position 7955: 1.9522532700743662e-15
Position 8005: 1.4238349366843525e-15
Position 5922: 9.300640389049115e-17
Position 7144: 6.596763226236822e-17
Position 5753: 1.9446677672063482e-17
Position 4475: 1.4329709898858535e-17
Position 5718: 8.533952616116478e-18
Position 3640: 6.261803836654812e-18
Position 2941: 2.541660729604389e-21
Position 2685: 1.2082805726959382e-21
Position 2055: 1.113595105846109e-21
Position 599: 4.7728657915591894e-27
Position 873: 2.2499765795551162e-27
