Gene = Mrps18c
Position 1034: 4.574543505426406e-05
Position 686: 3.6741910289596033e-05
Position 1147: 3.330879211585167e-05
Position 1201: 1.6023940947634302e-05
Position 2022: 1.4035943802132791e-05
Position 863: 1.3223816256396886e-05
Position 1648: 1.1952777892262066e-05
Position 821: 1.0913130704338353e-05
Position 493: 1.036366185099666e-05
Position 33: 1.0167668379346851e-05
Position 1154: 9.358614077085747e-06
Position 1429: 8.7512158194796e-06
Position 645: 8.20678490720798e-06
Position 348: 7.914253673022484e-06
Position 581: 6.685748708042434e-06
Position 53: 5.569813891092257e-06
Position 566: 5.510235651625714e-06
Position 831: 5.066843372341124e-06
Position 3453: 4.919415499503042e-06
Position 563: 4.625286518219842e-06
Position 356: 4.280963918907633e-06
Position 329: 3.966197612226204e-06
Position 1167: 2.6328923153997377e-06
Position 342: 2.556256541994046e-06
Position 585: 2.505066202855957e-06
Position 479: 2.4745061143448357e-06
Position 2091: 2.4400611967061565e-06
Position 163: 2.4297169224029357e-06
Position 2108: 2.0435269635988617e-06
Position 1732: 1.9601280593371313e-06
Position 1758: 7.823070914930514e-07
Position 664: 4.961644828131959e-07
Position 1637: 4.908143732445907e-07
Position 12: 5.705994034887193e-08
Position 386: 1.1108683112801962e-09
Position 389: 8.383891823389589e-10
Position 168: 4.4349822665555544e-10
Position 469: 2.2452569191218888e-10
Position 476: 8.34789370384971e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 5704: 0.7442859828355469
Position 5342: 0.595939132526102
Position 3280: 0.5857347056515477
Position 924: 0.4038752562681597
Position 5487: 0.20568207889636525
Position 849: 0.10864699626363322
Position 3240: 0.09504796517282803
Position 1926: 0.05172033646411882
Position 877: 0.04309735908742131
Position 4835: 0.03886475461740825
Position 2268: 0.024651765336148233
Position 794: 0.02291341596057544
Position 3284: 0.01934816448861883
Position 3564: 0.018514302228854754
Position 1888: 0.016998829790586173
Position 5464: 0.014031403190991339
Position 1520: 0.013366561771074316
Position 4158: 0.009992602530046458
Position 1364: 0.008134365976875538
Position 746: 0.006934202172120157
Position 1323: 0.006873511551791907
Position 5180: 0.006050755723792799
Position 4368: 0.005309813039981084
Position 5514: 0.00519400582717992
Position 3251: 0.004830244668088976
Position 4560: 0.004663711589361338
Position 3632: 0.004301422345211026
Position 885: 0.0042183507075456254
Position 645: 0.004184958463729594
Position 3129: 0.0027996643706059746
Position 3739: 0.002693355867306632
Position 3069: 0.00268435783566853
Position 695: 0.0024256801216836752
Position 3133: 0.0021880736092842164
Position 5252: 0.0020700774923297673
Position 4425: 0.001974312868701843
Position 1306: 0.0017375038046224059
Position 3039: 0.0016491452906035359
Position 956: 0.0015017895240016532
Position 5296: 0.0014807633292014061
Position 1013: 0.0014125558937413878
Position 3676: 0.0013502404809146893
Position 1542: 0.0012950023079915805
Position 3161: 0.0009049447310986172
Position 4088: 0.0008981008469861604
Position 715: 0.0008565803119201836
Position 5682: 0.000852846866204243
Position 3112: 0.0008456341557193609
Position 940: 0.0008260332833390929
Position 4503: 0.000737408858928962
Position 5090: 0.0006587441850649658
Position 4856: 0.0006331035466504367
Position 453: 0.000626227407621718
Position 3683: 0.0005370529495224519
Position 817: 0.0004711359237855045
Position 1273: 0.0004482733836638997
Position 3659: 0.0004236940080350134
Position 1573: 0.00042343436586129247
Position 4332: 0.0003609284277643252
Position 965: 0.000319128305088295
Position 4587: 0.0002935975083686063
Position 3605: 0.0002829261437981506
Position 1016: 0.0002308359438541858
Position 4885: 0.00021287364197064231
Position 168: 0.0001746330458114878
Position 3895: 0.0001694868351746183
Position 3584: 0.0001610273199938592
Position 2004: 0.00015580706234466827
Position 3514: 0.00015343609515790376
Position 4949: 0.00014363703697245435
Position 1968: 0.00011907339784344241
Position 1241: 0.00011673703910992853
Position 769: 0.00011143312860045246
Position 4135: 0.00010351226944290327
Position 5716: 9.526099221024174e-05
Position 3389: 9.253735435579335e-05
Position 1408: 7.608860567052395e-05
Position 2731: 6.007018646259082e-05
Position 311: 5.3217656846387396e-05
Position 3484: 5.037427145411801e-05
Position 560: 3.7746668759789944e-05
Position 1200: 3.22240804912867e-05
Position 1334: 9.876277717195466e-06
Position 1588: 7.5272619312490455e-06
Position 351: 6.943938900616335e-06
Position 356: 6.645757326459375e-06
Position 383: 6.427770097618307e-06
Position 364: 4.006666050958278e-06
Position 545: 3.7384204160882405e-06
Position 176: 3.2371736286631825e-06
Position 389: 3.111951093249749e-06
Position 1551: 2.494026521839953e-06
Position 1594: 2.286550543397595e-06
Position 1659: 2.0407480333740424e-06
Position 517: 1.8623519357065891e-06
Position 109: 1.8092220353671515e-06
Position 1432: 1.4767761838486102e-06
Position 317: 1.3973209445830931e-06
Position 1622: 1.2756200178663252e-06
Position 1194: 1.2748497947455176e-06
Position 706: 1.1068649362479401e-06
Position 566: 1.0560546443272162e-06
Position 702: 1.0162596945096273e-06
Position 1421: 8.225927631393978e-07
Position 72: 3.5091717883551934e-07
Position 720: 3.470465138935185e-07
Position 525: 2.4742117987898405e-07
Position 1050: 1.6862275782792805e-07
Position 1378: 1.4784543198187444e-07
Position 324: 1.0681039082202247e-07
Position 366: 9.763899123128201e-08
Position 1055: 8.997248333201108e-08
Position 117: 8.00400470035379e-08
Position 372: 7.039225928923823e-08
Position 342: 6.57765829299716e-08
Position 1325: 4.8632091899035914e-08
Position 532: 1.1958252637328017e-08
Position 184: 8.731195558858159e-09
Position 138: 7.248906619625892e-09
Position 180: 3.080254186516233e-09
Position 973: 1.1930739430103272e-10
Position 329: 3.8430364893708255e-11
Position 335: 3.023252096042522e-11
Position 131: 2.924625489022317e-11
Position 127: 2.0776965327159937e-11
