ID,5SS,3SS
AT1G03060,182;617;855;1203;1340;1656;2002;2211;2617;3926;4776;4987;6211;7957;11232;11885;12334;12575,543;768;1066;1282;1481;1809;2144;2501;2771;4075;4883;5095;6305;8228;11575;12026;12427
AT1G03080,433;745;1074,681;868
AT1G03090,702;959;1214;1522;1664;2058;2252;2507;2774;3193;3439;3660;4003;4173,579;810;1075;1425;1603;1964;2139;2401;2636;2957;3277;3545;3756;4075
AT1G03110,704;1053;1227;1382;1629;1771;1978;2112,538;871;1169;1310;1549;1710;1873;2050
AT1G03160,1131;1318;1950;2170;2806;3337;3606;3995;4340,624;1248;1751;2037;2718;2895;3437;3763;4223
AT1G03190,734;1141;1616;2118;2444;2712;2989;3275;3459;3629;4025,859;1532;1713;2249;2530;2863;3184;3379;3551;3915
AT1G03270,317;603;796;998;1351;1586;1925;2158;2315;2775;2944;3109,525;711;883;1266;1513;1856;2069;2240;2401;2896;3047;3204
AT1G03360,476;631;826;971;1139,373;584;735;904;1069
AT1G03380,1467;2142;2548;3461;3703;4039;4645,1001;1703;2301;2632;3544;3910;4152;4740
AT1G03410,1732;2570,2247;2649
AT1G03430,435;705;921;1087,573;848;1014
AT1G03445,304;470;701;925;1103;1582;1731;1998;2155;2423;2689;2943;3162;3332;3646;3843;4014;4297;4447;4671;4899,408;621;850;1007;1484;1660;1901;2072;2263;2607;2860;3049;3256;3406;3757;3914;4099;4370;4534;4767
AT4G10350,782,503;1092
AT1G03475,658;813;996;1165;1434;1651;1855,736;900;1080;1345;1525;1755
AT1G03550,426;589;732;942;1079;1261;1403;1564;1761;1922,320;525;697;818;1015;1166;1356;1495;1711;1855;2018
AT1G03590,1704;2136;2364;2689,1235;1796;2245;2464
AT1G03750,705;1975;2177;2542;2853,597;807;2049;2265;2626
AT1G03770,597;959;1290;1501;1639;2241;2722,899;1207;1379;1596;1736;2550
AT1G03780,702;947;1246;1424;1630;1945;2094;2287;2531;2752;2916;3131;3399;3593;3740;4029,615;785;1032;1326;1515;1701;2030;2205;2374;2619;2834;3010;3231;3483;3679;4162
AT1G03840,1020,622;1765
AT1G03860,809;1018;1611;1905,634;900;1439;1691
AT1G03905,807;1006;1233;1515,645;953;1095;1427;1912
AT1G03910,103;620;825;1162;1375;1552;1781;2401;2903;3297;3566;3912,310;732;1061;1302;1488;1639;2304;2617;2993;3388;3644
AT5G63400,208;990;1263;1444,628;869;1094;1353
AT1G03950,498;720;857;1031;1201;1424;1588;1712;1864,452;684;805;925;1128;1351;1506;1675;1807;1931
AT1G03960,892;1221;1399;1653;1867;2174;2575;2798;3300;3532;3830,681;1114;1298;1546;2031;2426;2687;3142;3405;3679
AT1G03980,309;1127;1454;1596;1922;2203;2505,664;1289;1543;1693;2015;2328;2713
AT1G03982,712;889,806;972
AT1G03990,829,552;1124
AT1G04010,882;1125;1379;1563;2143;2389;2827;3078;3457;3683;4021;4206;4364;4576,745;979;1208;1485;1925;2234;2726;2982;3404;3610;3851;4100;4278;4479
AT1G04020,358;522;949;1254;1683;1884;2213;2406;2593;2897;3114,303;450;595;1037;1430;1782;2025;2307;2501;2730;2994;3201
AT1G04050,625;758;979;1326;2491;2854;3008;3149;3379,561;718;846;1054;1471;2599;2940;3097;3281
AT1G04080,726;958;1464;2183;2889;3074;3495;3777;3979;4397;4792;4977,456;847;1233;2014;2494;2972;3350;3623;3861;4165;4485;4874
AT1G04100,1165;1395,853;1261
AT1G04120,2724;3154;3318;4229;4474;4850;5146;5531;5701;6026,585;2832;3230;3529;4308;4554;4930;5224;5636;5785
AT3G16830,535;728;975;1236;1458;1710;1967;2159;2408;2582;2762;2923;3137;3499;3762;3954;4205;4412;4711;4962;5161;5439;5693,354;613;815;1057;1324;1593;1833;2048;2337;2510;2665;2829;3008;3263;3602;3857;4054;4300;4533;4832;5064;5255;5516;5789
AT1G04160,328;1073;1344;1633;1880;2140;2401;2644;2862;3098;3325;3993;4274;4524;4813;5036;5244;5393;5664;5962;6252;6501;6819;7079;7281;7416;7573;7826;8295;8573;8860;9008;9274;9405;9552;9798,943;1199;1486;1719;2080;2240;2493;2724;2950;3890;4235;4396;4644;4903;5133;5331;5485;5755;6131;6401;6605;6938;7165;7370;7521;7654;8141;8380;8730;8936;9176;9347;9494;9633
AT1G04170,650;799;1031;1220;1725;2055;2416,516;736;917;1116;1496;1835;2154
AT1G04240,555;946,636
AT1G04250,1068;1521;1724,855;1381;1661
AT1G04270,410;555,260;496
AT1G04310,2464,673
AT1G04400,1108;1437;2245,689;1211;1531
AT1G04440,857;1014;1261;1431;1609;1746;1948;2107;2360;2545;2699;3092,815;943;1111;1334;1537;1683;1883;2021;2232;2458;2634;2954;3225
AT1G04450,27;540;739,159;422;637;825
AT1G04510,455;676;827;1184;1475;1685;1965;2319;2474;2646;2855;3141;3312;3495;3634;3891,368;603;763;1096;1332;1562;1847;2222;2413;2570;2749;3020;3233;3409;3581;3819;3981
AT1G04520,1540;2149,1152;2040
AT3G15880,500;850;1053;1323;1585;1791;2436;2687;2946;3252;3452;3924;4093;4513;4842;5086;5277;5529;5925;6190;6414;6605;6928;7214,356;669;938;1163;1406;1669;2313;2517;2835;3181;3377;3827;3996;4384;4606;4920;5177;5384;5813;6009;6284;6508;6738;7046;7301
AT1G04550,1050;1249;1384,762;1130;1321
AT1G04580,2617;3028;3353;3674;4712;4882;5067;5352,1008;2767;3142;3454;3745;4785;4967;5161;5451
AT1G04600,920;1279;1559;1807;2482;2685;2918;3100;3455;3768;3979;4232;4447;4662;4851;5231;5520;5753;6108;6522;6797;7061;7343;7570;7805;7904;8087;8346;8663;8987;9370;9508;9705;9838;9973;10260;10416,793;1134;1412;1649;1918;2331;2547;2770;2997;3528;3729;3851;4060;4314;4551;4789;5052;5313;5632;6008;6233;6643;6910;7177;7429;7689;7882;8008;8174;8509;8809;9078;9436;9604;9780;9915;10178;10338
AT1G04620,724;901;1104;1335;1481;1694;1830;1992;2264;2377;2519;2651;2826;2981;3137;3362;3552,617;815;991;1249;1438;1614;1777;1928;2165;2340;2456;2622;2745;2910;3078;3296;3456;3659
AT1G04630,961,888;1046
AT1G04690,587;1217;1481;1763,1020;1336;1597;1863
AT5G46240,1395;1635;1788;2260;2656;2837;3131,1178;1478;1729;1941;2415;2737;2911
AT1G04730,696;1023;1406;1611;1851;2022;2448;2713;3136;3333;3598;3776;3945;4126;4290;4533;4830;4976;5315;5580,561;822;1132;1523;1748;1955;2286;2667;3061;3264;3528;3677;3862;4046;4201;4378;4637;4915;5075;5479
AT1G04750,415;1063;1263;1515,920;1141;1451
AT1G04760,875;1085;1232,732;963;1168
AT1G04810,823;1133;1555;1802;2452;2694;3045;3365;3720;4074,752;1026;1445;1632;1990;2557;2795;3143;3460;3840;4833
AT1G04860,3458,806;3556
AT1G04870,793;1080;1574;1905;2071,599;973;1383;1718;1986
AT1G04880,136;1116;1564;1875;2090;2609,961;1484;1717;1966;2192
AT2G34630,986;1297;1488;1716;1894;2066;2347;2664;2934,892;1215;1415;1583;1806;1993;2260;2530;2744
AT1G04950,472;659;990;1192;1574;1788;1971;2421;2914;3330;3935,571;887;1082;1472;1649;1874;2780;3203;3417;4089
AT1G04980,544;769;1022;1226;1573;1802;2063,384;654;842;1125;1395;1655;1915;2162
AT1G05055,325;1189;1665,726;1285
AT1G05160,276;1416;2097;2445;2616;2786;2987;3194,1051;1618;2180;2525;2879;3068;3274
AT1G05170,754;921;1220;1360;1516;1721;1913;2113;2309,656;846;1007;1295;1442;1599;1824;1986;2198;2639
AT1G05180,264;529;1150;1354;1622;1798;2063;2248;2498;2725;3118;3388,355;1038;1273;1467;1703;1973;2173;2334;2638;3033;3206;3512
AT1G05200,277;808;2265;2621;2732;3248,374;930;2342;2699;2837;3342
AT1G05230,2063;2259;3025;3808;3984;4256;4496;4852;5021,618;2140;2835;3393;3881;4054;4320;4579;4924
AT1G05260,273;570;826,380;662
AT1G05310,539;789;1376;1727,616;1168;1466
AT1G05360,873;1210;1615;2000;2238;2515,660;1130;1326;1850;2120;2334
AT1G05385,191;796,412;875
AT1G05460,145;1412;2982,1246;1526
AT1G05470,742;962;1142;1330;2214;2500;2717;2948;3945,653;889;1053;1224;1417;2305;2607;2798;3034
AT1G05490,2442;2673,275;2522
AT1G05500,471;659;900;1434;1693;1998;2490;2836;3140;3520;3724,365;607;778;1311;1590;1922;2409;2684;2908;3240;3609
AT1G05570,356;1121;1313;1528;1724;1971;2172;2349;2545;2817;3057;3221;3411;3782;3981;4636;4780;5024;5161;5330;5593;5789;6645;6893;7098;7285;7498;7779;7964;8175;8356;8630;8884;9155;9396;9568;9762;10081;10986;11113;11385,911;1211;1405;1629;1859;2054;2255;2452;2689;2918;3143;3316;3661;3862;4582;4718;4941;5110;5242;5454;5693;6559;6731;6973;7186;7367;7626;7853;8048;8286;8439;8723;9034;9276;9483;9648;9850;10184;11061;11198;11482
AT1G05580,385;926;1688,468;1145
AT1G19920,1199;1551;1741,792;1289;1653;1853
AT1G05620,836;1003;1426;1625;1839;2141;2417,719;942;1239;1519;1741;2032;2280
AT1G05630,1418;2318;2546;2764;3404;3758;4027;4485,1164;1509;2420;2678;3094;3489;3902;4123
AT1G05690,460;1292;1500;2191,907;1368;1575
AT1G05805,874;2059;2446;2658;2818,1765;2316;2591;2748
AT1G05820,436;1043;1262;1498;1795;2229;2488;2753;3079;3253;3763;4070,883;1149;1377;1636;2048;2452;2595;3024;3159;3619;3914
AT1G05830,948;1184;1353;1653;2065;2286;2638;2828;3015;3259;4455;4664;4863;5181;5734;6123;6283;6683;6876,1131;1277;1432;1937;2180;2431;2734;2916;3096;3603;4015;4392;4606;4793;4984;5487;6060;6204;6586;6771
AT1G05880,245;442;633;911;1128;1252;1453;1631;1796;1927;2082;2281;2484,341;541;713;1022;1201;1344;1551;1714;1881;2009;2180;2356;2584
AT1G05890,614;810;1043;1376;1555;2004;3043;3613;4373,766;917;1269;1463;1830;3197;3564;3905;4245;4726
AT1G05900,418;669;840;1440;1658;1986;2177;2397,298;601;767;1372;1565;1847;2071;2312
AT1G05940,803;1059;1355;1644;1977;2422,392;881;1129;1466;1739;2325;2497
AT1G06080,1307;1524;1746,1165;1382;1638;2431
AT1G06110,1464;1764;1974,761;1544
AT1G06130,352;959;1378;1610;2246;2421;2605,772;1173;1485;2144;2345;2505
AT1G06170,892;1384,975;1455
AT1G06180,565,434;1249
AT1G06220,157;1314;1469;2767,560;1399;1572;2877;4013
AT1G06230,2861;3048;3233,2811;2939;3141
AT1G06290,1051;1253;1535;1876;2393;2598,932;1144;1361;1613;1800;1984;2477
AT1G06310,620;826;1011;1258;1443;1601;1842;2219;2427;2657;2845;3031,707;902;1084;1342;1525;1710;2082;2306;2509;2739;2928;3332
AT1G06410,2652;3020;3446,624;2745;3110;3551
AT1G06430,1592;1996;2311,1681;2069;2400
AT1G06460,873;1145;1431;1793;2054,749;1027;1234;1677;1888
AT1G06490,277;466;715;899;1099;1331;1516;1684;1932;2227;2390;2561;2857;3057;3523;3819;4125;4256;4413;4642;4829;5010;5258;5483;5688;5951;6182;6464;6660;6808;7159;7351;7634;7827;8008;8307;8615;9514;9651;9991;10326,364;601;810;987;1177;1425;1591;1807;2091;2312;2469;2733;2938;3137;3757;4042;4205;4325;4536;4733;4927;5093;5358;5586;5838;6029;6353;6539;6738;6968;7238;7510;7707;7923;8193;8384;8715;9599;9804;10499
AT1G06590,887;1094;1700;2297;2472;2656;2973;3377;4001;4721;5067;5879;6098;6509;6839;7060;7626;7821,726;971;1464;2118;2569;2842;3343;3751;4642;4803;5818;6029;6402;6696;6960;7360;7752
AT1G06660,733;920;1697;2611;2781,683;836;1475;1874;2688
AT1G06670,562;1098;1295;1473;1904;2073;2297;2605;2904;3076;4167;5377,470;664;1219;1427;1809;2013;2170;2551;2869;2985;3179;4296
AT1G06700,1081;1554;1763;2174;2391;2563,951;1299;1635;1899;2257;2475;2672
AT1G06770,991;1628;2221;2381;2586,890;1302;1789;2329;2512
AT1G06780,529;715;917;1089;1247;1769;2272;2927,679;874;1006;1175;1496;1913;2404
AT1G06820,1300;1476;1716;2104;2289;2551;2769;2992;3264;3473,1092;1375;1632;1816;1950;2209;2401;2633;2877;3152;3363
AT1G06850,859;1055,725;969
AT4G20850,615;896;1051;1255;1462;1652;1890;2162;2364;2682;2971;3225;3448;3601;3855;4275;4545;4764;5002;5614;5801;6009;6330;6605;6848;6994;7208;7459;7704;7930;8326;8530;8884,816;976;1144;1380;1564;1746;2010;2240;2597;2782;3049;3325;3520;3795;4119;4365;4650;4830;5484;5699;6249;6537;6764;6941;7075;7386;7610;7833;8226;8436;8721
AT1G06910,1084;1631;1928,796;1866
AT1G06950,807;1016;1191;1384;1580;1963;2135;2693;2867;3225;3686;3966;5044,746;891;1121;1284;1897;2039;2564;2765;3007;3530;3839;4071
AT1G06970,1610,613;1705
AT1G07070,384;1009,347;779
AT1G07110,564;1678;1869;2156;2291;2433;2665;2815;3108;3240;3443;3617;4901;5086;5279;5423;5639,499;683;1476;1772;2056;2260;2378;2610;2736;3015;3181;3568;3841;4837;4993;5209;5358;5572;5752
AT1G07180,1289;1540;1696;1946;2154;2415,1074;1378;1629;1781;2038;2234;2516
AT1G07230,1813,1635;2183
AT1G07270,342;528;829;991;1172;1509;1698;1874;2040;2310;2502;2692;2909;3131,433;607;915;1061;1249;1448;1623;1822;1989;2227;2411;2628;2812;3040;3227
AT1G07290,1025;1248;1458;1648;1886;2339;2532,831;1107;1549;1730;2221;2433
AT1G07340,184;586;1375,265;747;1473
AT1G07350,702;911;1185;1649;2200,600;801;1034;1584;1739
AT1G07370,831;1012,677;913;1123
AT1G07390,840;1011;1192;1357;1524;1703;1844;1987;2142;2299,683;938;1116;1284;1448;1627;1781;1914;2128;2229
AT1G07410,405,210;644
AT1G07420,385;1170;1563;1823;2124;2303,1031;1416;1702;1910;2221;2405
AT1G07430,1081,768
AT1G07510,1623;1787;2157;2746;3614;4077,1390;1717;2022;2262;2845;3848;4468
AT1G07540,1536;1791;1950;2115;2445;2811;2973,796;1625;1874;2034;2202;2543;2908
AT1G07570,1125;1342;1587;1816,807;1205;1443;1691
AT1G07615,460;705;856,350;621;792
AT1G07620,237;622,476;703
AT1G07630,1971;2323,1856;2057
AT1G07745,564;862;1206;1399;1587;1755;1995,483;663;1070;1305;1495;1683;1838
AT5G59850,94;666;925,515;763
AT1G07880,500;707;1132;1421,369;568;798;1236;1501
AT1G07890,646;908;1079;1366;1537;1713;1859,202;732;1012;1230;1456;1609;1799;1941
AT1G07910,323;1069;1216;1392;1908;2091;2316;2773;3022;3192;3464;3779;3913;4336;4531;4793;5240;5640;5830;6069;6510;6693;6848;7048;7509;7821,630;1164;1308;1807;2011;2191;2665;3126;3307;3617;3880;4171;4450;4726;4949;5531;5731;6007;6432;6620;6770;6966;7405;7661;7951
AT1G07960,606;1175;1439,1115;1262
AT1G08000,1423,1158
AT1G08030,641;909;1066;1645;1894;2078;2315;2951;3089;3281;3504,563;736;993;1358;1752;1972;2169;2900;3037;3160
AT1G08060,1846;2048;2409;2976;4191;4513;5178;6776;7067;7366;7614;7925;8214;8507,590;1968;2162;2801;4270;5072;5377;6910;7209;7448;7746;8013;8295
AT1G08065,566;765;1023;1304;1451,347;651;919;1135;1396;1576
AT2G22950,243;418;2474;2708;2953;3359,362;524;2548;2780;3059;3468
AT1G08090,1142,1025
AT1G08100,846;1066,949;1203
AT1G08130,1154;1384;1577;2038;2227;2393;2983;3202;3887;4027;4178;4352;4487;4670;4850,1036;1281;1459;1806;2131;2304;2850;3088;3784;3964;4105;4277;4429;4591;4771
AT1G08135,359;1460;2207,442;1552
AT1G08140,1549;2306,528;1642
AT1G08150,1558;2322,537;1661;2420
AT1G08190,1014;1272;1626;1861;2040;2239;2703;2882;3209;3351;3524;4073;4242;4450;4659;4858;5158,740;1091;1367;1727;1948;2135;2598;2787;3052;3287;3457;3844;4163;4329;4577;4771;5075;5245
AT1G08200,751;983;1563;1778;1969;2158;2387,657;874;1447;1643;1866;2064;2250
AT2G15570,233,1054
AT1G08260,2529;2711;2903;3734;5362;5556;7217;7532;7935;8196;8358;8631;8920;9146;9373;10011;10357;10832;11054;11541;11814;12093;12244;12942;13424;13569;14038;14241;14736;14924;15258;15381;15840;16426;16660;16936;17332,2462;2650;2806;3327;3810;5889;7111;7412;7839;8277;8453;8834;9064;9228;9914;10155;10776;10910;11142;11683;11894;12168;12750;13242;13503;13904;14138;14660;14863;14994;15331;16323;16539;16746
AT1G08320,1250;1821;2405;2992;3710;3930;4339;4547;4924;5367;6303,1086;1725;2321;2781;3670;3869;4260;4497;4651;5144;6159
AT1G08340,880;1197,638;965;1379
AT1G08350,393;644;1330;1565;1858;2441,229;602;740;1432;1700;1952
AT1G08400,510;671,419;581
AT1G08410,659;834;1433,556;746;1338;1839
AT1G08420,969;1569;1762;1953;2131;2330;2477;3126;3284;3687;4268;4598;4919;5671;5866;6134;6696;6930,1507;1682;1872;2035;2229;2406;3023;3201;3506;3999;4359;4747;5256;5585;5933;6559;6789;7018
AT1G08430,409;672;1078;1294;1525,530;804;1171;1380;1836
AT1G08440,544;990;1313;1572,402;716;1190;1427
AT1G08450,269;669;1351;1799;2136;2310;2584;2732;2892;3262;3490;3670;3823,560;1157;1539;2078;2261;2496;2673;2823;3165;3432;3582;3789;3937
AT1G08465,2422;2628;2790;2942,2289;2506;2740;2865
AT1G08470,520;873;1303,596;1134;1506
AT1G08490,693;955;1210;1364;1544;1723;1986,398;767;1063;1290;1479;1622;1826
AT1G08510,491;1636;1851;2192;2591,1110;1716;2077;2418
AT1G08520,430;813;987;1389;1615;1823;2342;2734;3020;3242;3540;3775;4033;4258,633;901;1071;1490;1729;2245;2589;2812;3085;3431;3639;3873;4136
AT1G08540,245;967;1797;2473;2725;3012,784;1199;2241;2583;2810
AT1G08550,810;1054;1416;1915,886;1318;1519
AT1G08570,602;1030;1280,852;1114
AT1G08600,457;625;1200;1347;1541;1716;2017;2345;2970;3357;4125;4887;5073;5388;5659;5965;6467;6875;7015;7403;7676;8142;8483;8767;8929;9276,397;586;865;1283;1444;1622;1825;2100;2855;3272;3770;4572;4981;5177;5538;5797;6324;6724;6958;7104;7545;8085;8255;8562;8849;9015
AT1G08620,1030;1194;1403;2017;2341;2912;3591;5259;5452;5997,431;1121;1324;1488;2112;2749;3221;3991;5347;5798;6222
AT1G08630,840;2001;2211;2341;2630;2769;3007;3172,765;1540;2098;2289;2424;2709;2905;3104
AT1G08640,942;1132;1602;1945;2139;2430,841;1026;1227;1543;1818;2042;2357;2843
AT1G08660,484;731;902;1073;1359;1571;1756;2085;2288,403;643;823;980;1156;1479;1696;1935;2205
AT1G08680,776;1740;1888;2106;3592;4060;4238;4448;5164;5510,713;1651;1825;2008;2991;3921;4360;5027;5475
AT1G08710,598;987,423;823
AT1G08720,1333;1682;2861;3140;3725;3966;4136;4326;4490;4664;4973,909;1577;1766;3098;3655;3864;4056;4226;4420;4613;4795;5051
AT1G08730,52;299;536;764;1016;1168;1411;1633;1871;2092;2278;2412;2585;2725;2936;3181;3467;3712;3865;4163;4483;4691;5086;5387;5641;5858;6002;6349;6593;6903;7134;7290;7493;7620;7756;7985;8165,194;391;617;858;1108;1250;1482;1733;1944;2175;2353;2482;2686;2808;3009;3334;3601;3803;3984;4276;4570;4986;5164;5500;5745;5953;6093;6436;6695;6989;7218;7392;7562;7698;7903;8081
AT1G08780,404,286;1127
AT1G08800,3154,912;3312
AT1G08810,509,378
AT1G08820,908;1118;1655;1866;2377;2649;3311;3465,1004;1583;1783;2260;2468;2839;3386
AT1G08830,716;914;1142;1352;1522;1747,619;811;1045;1319;1445;1692
AT1G08840,1466;1604;1991;2129;2256;2694;2904;3113;3480;3925;4213;4363;4513;4701;4835;5360;5707;5951;6202;6357;6579;6872;7157;7383;7684;7856;8083;8479;8647;8848;9061,1540;1783;2074;2193;2560;2792;3015;3396;3858;4056;4306;4454;4589;4777;5224;5451;5875;6079;6289;6473;6703;7086;7230;7605;7762;7944;8438;8572;8709;8940;9146
AT1G08860,1084;1359;1492;1645;1957;2186;2328;2505;2702;2861;3238;3556;3784;3970,1035;1209;1442;1587;1776;2050;2265;2407;2586;2783;3099;3390;3669;3872
AT1G08890,357;1041;1205;1537;1712;1896;2069;2413;2574;2729;2880;3022;3189;3403,587;980;1138;1310;1460;1646;1802;1987;2327;2529;2665;2819;2967;3128;3287;3745
AT1G08900,807;974;1139;1317;1481;1676;1861;2056;2204;2358;2509;2659;2827;3033,352;746;907;1072;1240;1415;1582;1779;1970;2159;2294;2448;2604;2766;2917;3125
AT1G08920,487;674;878;1038;1215;1375;1550;1726;1904;2036;2182;2337;2509;2661;2870,423;583;751;971;1138;1309;1456;1644;1818;1991;2118;2255;2454;2600;2754
AT1G08930,529;721;886;1071;1258;1414;1592;1761;2003;2196;2420;2568;2724;2881;3140;3454,657;795;1010;1191;1347;1515;1695;1909;2114;2334;2523;2660;2820;3025;3338;3554
AT1G08980,451;708;925;1183;1420;1658;1883,297;582;798;999;1262;1488;1747;1962
AT1G09000,545;707;918;1078;1239;1462;1685;1867;2018;2162;2296;2614;2901;3347;3680,502;640;806;996;1160;1378;1602;1765;1977;2101;2245;2393;2729;2993;3608
AT1G09010,308;685;999;1142;1266;1607;1890;2181;2906;3301,545;773;1082;1216;1375;1719;1975;2260;3072
AT1G09020,775;1010;1620;2024;2211;2511;2826;3135;3597;4048;4205;4515,921;1442;1900;2150;2420;2690;2989;3422;3983;4134;4396
