Gene = Nle
Position 483: 2.6940024236545514e-06
Position 1473: 2.3077288240427276e-06
Position 1740: 2.1047427056794515e-06
Position 269: 1.1500350841195765e-06
Position 600: 7.890804914555289e-07
Position 638: 7.232083235361149e-07
Position 1446: 6.5663713761317e-07
Position 1662: 5.785710407030218e-07
Position 1459: 2.5753230737231493e-07
Position 1453: 1.979484769125957e-07
Position 1552: 6.648174288475048e-08
Position 281: 1.32729199856962e-09
Position 315: 1.0452871844985263e-09
Position 284: 9.25420676245609e-10
Position 183: 3.4698629980302453e-10
Position 394: 1.9167985140564183e-10
Position 197: 1.5877437834284402e-10
Position 98: 7.846852639436933e-11
Position 509: 3.458433610912183e-11
Position 240: 2.0807621940497778e-11
Position 104: 2.0069230929720826e-11
Position 236: 1.257538090393267e-11
Position 293: 2.4440128016606755e-12
Position 102: 2.3866014266322656e-12
Position 152: 5.899650882143671e-14
