Gene = PHGPx
Position 1132: 3.519913667406399e-05
Position 1368: 2.8704341175881046e-05
Position 1448: 2.86655901618803e-05
Position 1309: 2.8283127076450366e-05
Position 1712: 2.720485060634232e-05
Position 213: 2.355847985774563e-05
Position 2069: 2.3227011250340303e-05
Position 1868: 1.950397058585215e-05
Position 2106: 1.4466367764570445e-05
Position 1296: 1.2660865041999944e-05
Position 1230: 7.79663403385964e-06
Position 32: 7.086717956628071e-06
Position 82: 6.7819544957509746e-06
Position 681: 3.7768348551321337e-06
Position 25: 2.2665306890749947e-06
Position 1909: 2.042263344166078e-06
Position 1802: 1.8488305995448888e-06
Position 73: 1.3179705492400505e-06
Position 38: 1.0391580480806875e-06
Position 1992: 2.5859721365712176e-07
Position 331: 2.2816773255855538e-07
Position 129: 2.2356356628580963e-07
Position 2018: 1.9517872256051156e-07
Position 328: 1.3673934224989358e-07
Position 385: 8.386761689834913e-08
Position 543: 3.3716166588717058e-09
Position 1834: 1.6907632157957883e-09
Position 1828: 1.0123879341951012e-09
Position 1554: 2.2534933822236036e-10
Position 406: 1.5140531304057344e-10
Position 1652: 6.265828575411735e-12
Position 1706: 1.2473372426429768e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 1985: 0.9959366772294986
Position 1594: 0.9939882178315964
Position 1077: 0.7382980911524984
Position 167: 0.1391120049965372
Position 648: 0.09397171153797536
Position 1123: 0.05158096695111056
Position 257: 0.028740951002179004
Position 524: 0.015743366201315022
Position 2251: 0.013006850211805348
Position 1131: 0.010011253518262623
Position 745: 0.0037826331891055616
Position 1108: 0.0035706847459456557
Position 1086: 0.0034153129827433405
Position 923: 0.002942766242010286
Position 1341: 0.002724149037037086
Position 348: 0.0024090131467687168
Position 1102: 0.002350459804648084
Position 1840: 0.0023099842366899595
Position 359: 0.0021015519151874164
Position 126: 0.0020034364412994557
Position 1828: 0.0019685956223078754
Position 1098: 0.0017687563744613996
Position 199: 0.0016364920065267518
Position 1035: 0.0014261266998558846
Position 270: 0.0013546096977336735
Position 1374: 0.0013376274675781221
Position 321: 0.0012482191064578949
Position 324: 0.0012017029169293068
Position 2033: 0.0010439403746391215
Position 679: 0.000977853931266835
Position 1547: 0.0008160746821152571
Position 920: 0.0006542315871146545
Position 154: 0.000533598708326119
Position 2224: 0.0005081820638939025
Position 2230: 0.0004624848306516098
Position 1014: 0.000376904385295548
Position 851: 0.0003281316225878959
Position 1762: 0.00015706686236277142
Position 617: 0.00014773943822473385
Position 1463: 0.0001219869921460815
Position 2042: 0.00010031744250683492
Position 1657: 9.054184612948017e-05
Position 1690: 8.424337785597231e-05
Position 204: 8.214811834676113e-05
Position 1491: 7.513014843566826e-05
Position 1747: 4.974149719773994e-05
Position 697: 4.834351597817207e-05
Position 601: 4.27734424795558e-05
Position 2039: 3.991585848258226e-05
Position 364: 3.801007733429541e-05
Position 1538: 3.3763546993636375e-05
Position 213: 3.283881754474503e-05
Position 2255: 3.2215117800300855e-05
Position 1624: 2.6035743942700267e-05
Position 1442: 2.0780298368374394e-05
Position 2084: 1.8649827156588538e-05
Position 1783: 1.7906928150884482e-05
Position 448: 1.6691816528853425e-05
Position 103: 1.4472841139173551e-05
Position 2059: 1.3440208388718143e-05
Position 1696: 1.3214613791308884e-05
Position 1777: 1.1410696432422806e-05
Position 594: 1.0958386577664906e-05
Position 2099: 8.949210147667268e-06
Position 2001: 5.8596604733349415e-06
Position 1554: 5.73364521426248e-06
Position 1496: 2.2311192572263467e-06
Position 1470: 2.2233285559268945e-06
Position 107: 1.4701131285712262e-06
Position 541: 1.1132011147312817e-06
Position 580: 1.089185352763653e-06
Position 145: 8.278243975407942e-07
Position 140: 7.532765880661367e-07
Position 573: 7.258629992378394e-07
Position 2177: 6.743044380098751e-07
Position 82: 6.675177880814978e-07
Position 2188: 6.426409601634013e-07
Position 2102: 5.868626581071702e-07
Position 2156: 5.210438853815379e-07
Position 134: 1.3613679455845234e-08
Position 58: 9.769252468484032e-09
Position 184: 6.087374184412903e-09
Position 201: 2.580917175905871e-09
Position 62: 3.4040241983212903e-10
Position 73: 3.133784933659434e-10
Position 66: 9.059522378335692e-11
Position 176: 2.6293046343450144e-11
