Gene = Fic
Position 697: 1.6685235633267032e-07
Position 1464: 5.5498720225127014e-08
Position 1329: 8.680456347127165e-09
Position 1439: 1.168001410831546e-09
Position 1282: 1.0882210659584214e-09
Position 794: 2.710189746177545e-10
Position 310: 1.0662739962155123e-10
Position 442: 4.2224886739142985e-11
Position 496: 1.2148645189555108e-11
Position 1185: 1.0252424736634809e-11
Position 1421: 7.363766249646851e-12
Position 494: 6.124393605957976e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 1129: 0.9951482611888953
Position 1392: 0.9945109019676243
Position 320: 0.3830450448979109
Position 414: 0.03859312015226258
Position 74: 0.008950690710863895
Position 2015: 0.00812191584425871
Position 106: 0.006548586668577943
Position 922: 0.005704030748792689
Position 723: 0.0053821027166543675
Position 1280: 0.004159989978090491
Position 631: 0.003910042689271836
Position 1148: 0.00383204871750497
Position 1400: 0.0026561933901652355
Position 350: 0.0025116234828472237
Position 1660: 0.0021854814320245958
Position 171: 0.0021409154750741065
Position 2001: 0.0019413904461680887
Position 1559: 0.0017450402540325639
Position 737: 0.0015121788531348537
Position 954: 0.0012619705660195265
Position 1171: 0.000678676537029728
Position 1890: 0.0006654544551086945
Position 181: 0.0005245216422007708
Position 919: 0.0004842547531988451
Position 466: 0.0004444550494124247
Position 970: 0.00041361077146488396
Position 1555: 0.00038424453281967456
Position 1678: 0.00028685920042239205
Position 1887: 0.00027846157216611963
Position 1615: 0.00026843887795093056
Position 1940: 0.0002485268198394224
Position 381: 0.0002463363622744997
Position 1751: 0.00023460446011030445
Position 903: 0.0002231019460215468
Position 988: 0.00019550595308066713
Position 1644: 0.00018556095669997616
Position 480: 0.0001547894541581528
Position 144: 0.00014983735162274044
Position 1417: 0.00014841558405614153
Position 261: 0.00014529503862678768
Position 771: 0.00013947059938268223
Position 743: 0.00011371536890186751
Position 687: 9.876821023117952e-05
Position 1528: 8.480230097313786e-05
Position 792: 7.826861639679984e-05
Position 1900: 7.340171061563262e-05
Position 781: 6.579385648590599e-05
Position 1795: 5.2250195386233725e-05
Position 228: 4.32779134475235e-05
Position 1496: 2.974443662041217e-05
Position 231: 2.9728473820414145e-05
Position 1223: 2.8301988697241528e-05
Position 1737: 2.6100863829552947e-05
Position 1810: 2.2908837770449508e-05
Position 760: 2.1296003395316554e-05
Position 1200: 2.081978446056467e-05
Position 711: 1.763232944159187e-05
Position 525: 1.5126293248266431e-05
Position 1058: 1.2672560554295847e-05
Position 494: 9.497535830028677e-06
Position 205: 6.5279030909317275e-06
Position 885: 5.879724229644004e-06
Position 1095: 4.777684462065981e-06
Position 1160: 3.3973436720141227e-06
Position 588: 2.6902351223564635e-06
Position 276: 2.6064552873426016e-06
Position 506: 2.537805270279799e-06
Position 447: 2.021384386436802e-06
Position 649: 1.6545359807499997e-06
Position 202: 1.5654599038028263e-06
Position 567: 1.4591544839715958e-06
Position 1315: 1.2036345604320942e-06
Position 1312: 9.767134397087165e-07
Position 522: 9.529892691833685e-07
Position 1091: 9.496451934725652e-07
Position 1251: 9.001543094618728e-07
Position 1236: 2.1177102972879779e-07
Position 1307: 8.270351221710533e-08
Position 235: 4.3070040196460695e-09
Position 1522: 1.818367691190957e-09
Position 243: 8.283103837329459e-10
Position 1612: 8.209650851683608e-10
Position 1622: 7.768863844679292e-10
Position 1533: 7.612559618071124e-10
Position 1508: 6.744427549959996e-10
Position 241: 2.0329796420810277e-10
Position 50: 8.975289655002955e-11
Position 215: 7.788987364708734e-11
