Gene = mtgo
Position 131: 2.3168610563909385e-10
Position 384: 2.172793221762029e-10
Position 2346: 1.6466021905007367e-10
Position 336: 1.425608600587757e-10
Position 4184: 1.1993788596368606e-10
Position 4153: 1.1268589156323326e-10
Position 2296: 9.751949416145124e-11
Position 2250: 9.192546196928145e-11
Position 1074: 6.941475915339008e-11
Position 2909: 6.124233231634132e-11
Position 2038: 5.3828194390448825e-11
Position 923: 3.4439582749629306e-11
Position 1092: 2.9238277108246006e-11
Position 2971: 2.7178852951165335e-11
Position 2822: 2.5851929194343886e-11
Position 2059: 1.8370989999808217e-11
Position 2825: 1.6182479683486996e-11
Position 2456: 1.2900303932849218e-11
Position 715: 8.004688159524618e-12
Position 795: 7.327416678585768e-12
Position 101: 7.278891604539703e-12
Position 2219: 6.9344586804022204e-12
Position 2221: 6.491161638216973e-12
Position 1898: 2.980751753756199e-13
Position 1795: 1.950089959691055e-13
Position 73: 1.8584489617751905e-15
Position 331: 7.048549307600488e-16
Position 340: 3.3815719391241543e-17
Position 440: 2.3403833408381645e-17
