Gene = Df31
Position 903: 5.1971688818216415e-05
Position 1799: 4.608898947404564e-05
Position 3508: 4.5001937209210844e-05
Position 2460: 4.125708735753185e-05
Position 2667: 3.5113820457711076e-05
Position 3461: 2.092373866634707e-05
Position 397: 1.7594401008323584e-05
Position 24: 1.4675718097580649e-05
Position 30: 1.3450852161761777e-05
Position 309: 1.3299685287407503e-05
Position 702: 1.2229285973849537e-05
Position 270: 1.1283137540711801e-05
Position 124: 1.0936160282690678e-05
Position 625: 9.624505230833171e-06
Position 2904: 7.948976277503842e-06
Position 3433: 6.779994735651729e-06
Position 191: 6.183323683742388e-06
Position 733: 5.723834518218416e-06
Position 3128: 3.8892048506843115e-06
Position 38: 3.6131498532252897e-06
Position 208: 2.8755592756974666e-06
Position 395: 2.4595742013309566e-06
Position 354: 2.0686019226291167e-06
Position 2468: 1.7502119342169966e-06
Position 2783: 1.5172705181611502e-06
Position 158: 1.4865086853375216e-06
Position 300: 1.4813486327363231e-06
Position 3086: 1.2295854888795899e-06
Position 1924: 8.316212776212684e-07
Position 183: 7.601846439961343e-07
Position 1722: 5.402710491052849e-07
Position 1148: 5.346977849309448e-07
Position 2536: 5.052520452768257e-07
Position 462: 4.439877045280953e-07
Position 1937: 3.753452679465661e-07
Position 14: 3.553603962056261e-07
Position 651: 3.41321331453866e-07
Position 2479: 3.296141462968646e-07
Position 141: 3.271865623457757e-07
Position 2207: 2.537800496650808e-07
Position 2552: 2.503609450678133e-07
Position 2491: 1.9065003121772663e-07
Position 1046: 1.0402652894295017e-07
Position 249: 7.409610879569392e-08
Position 32: 6.715976141672387e-08
Position 906: 2.9576617145425725e-08
Position 286: 1.4653885457551708e-08
Position 193: 3.107282711118731e-09
Position 683: 2.0088912558181093e-09
Position 706: 7.551114707888087e-10
Position 570: 7.291618361112059e-10
Position 666: 4.848418104329742e-10
Position 2195: 3.968700844122053e-10
Position 464: 6.407890227414619e-14
Position 485: 5.3872721092089935e-14
Position 418: 3.579384734093691e-16

Sorted 3' Splice Sites (High to Low Probability):
Position 2174: 0.9995390588577553
Position 1722: 0.6141054795003152
Position 1618: 0.14447775151197753
Position 2429: 0.11255793262287903
Position 3578: 0.083488165309585
Position 453: 0.058086845477608035
Position 922: 0.03243944284152378
Position 1083: 0.02608878147527498
Position 1198: 0.022727607142434995
Position 3431: 0.012455461357621893
Position 3394: 0.011166510440413786
Position 1439: 0.008863280357355825
Position 3136: 0.008335946970685121
Position 1044: 0.005842031870329731
Position 785: 0.004446455235182646
Position 987: 0.00432490483935844
Position 1635: 0.0037181332069511556
Position 329: 0.003600328707027987
Position 3196: 0.003301786027561007
Position 3184: 0.0027410497519287425
Position 2960: 0.002364409747617562
Position 958: 0.002232756601120624
Position 1620: 0.0019901919933570274
Position 2408: 0.0017547847993754128
Position 1579: 0.0016878326598776755
Position 1744: 0.0016005864415028772
Position 2943: 0.0015783958584636465
Position 1275: 0.0015318389836651175
Position 315: 0.0014658992810597693
Position 2662: 0.0014581571018045922
Position 433: 0.0013083505980341754
Position 1585: 0.0012771106935720884
Position 981: 0.0012348657044263089
Position 1100: 0.0012156614833327417
Position 369: 0.001112957940652474
Position 3494: 0.0010764565623639446
Position 906: 0.0008162117475939775
Position 3407: 0.0006123824102169161
Position 3474: 0.000606893961354686
Position 1372: 0.0006034013211378565
Position 155: 0.0005811879520254503
Position 2977: 0.0005308652146001944
Position 1658: 0.0005045441543401211
Position 3071: 0.0005034083363755362
Position 903: 0.0004301766739375301
Position 3250: 0.0003775814539671272
Position 1653: 0.0003697174620446077
Position 1774: 0.0003389280736702477
Position 1414: 0.0002673434467026852
Position 183: 0.0002650364193446692
Position 1321: 0.0002301680697926323
Position 744: 0.0002110746699203023
Position 1632: 0.00019430254686133232
Position 2744: 0.00013392468456470386
Position 813: 9.513419295920797e-05
Position 2398: 8.629339495798546e-05
Position 230: 8.582352947840162e-05
Position 1237: 8.523023586069665e-05
Position 2667: 8.05297436533564e-05
Position 573: 8.026177389039966e-05
Position 2919: 5.744869865843874e-05
Position 658: 4.821106765867751e-05
Position 541: 4.203626660943281e-05
Position 2684: 4.0678826248254276e-05
Position 2544: 3.209072909551342e-05
Position 2536: 2.6003427003185975e-05
Position 2689: 2.4152982448236525e-05
Position 2200: 2.0818563515285087e-05
Position 85: 1.4270912041750475e-05
Position 3037: 9.703501183274954e-06
Position 609: 4.023861269470112e-07
Position 101: 3.83319827068912e-07
Position 2720: 2.0648585604384276e-07
Position 217: 1.6860277472666074e-07
Position 2765: 1.2523133379459926e-07
Position 90: 7.073315338870775e-08
Position 99: 4.9047965224058104e-08
Position 625: 4.084109651779394e-08
Position 263: 6.0048629512361106e-09
Position 65: 1.0716948198695975e-09
Position 73: 6.209048653689282e-11
Position 257: 5.491891627299573e-13
