Gene = Fas3
Position 1247: 1.4410356720319315e-11
Position 2743: 3.353136877144886e-14
Position 1833: 1.122081547212501e-14
Position 1682: 1.0661419244229548e-14
Position 1621: 2.437849600172588e-15
Position 2113: 2.271021817033163e-15
Position 1303: 2.410555687014526e-16
Position 1444: 1.5682576507121013e-16
Position 1321: 8.313818033694058e-17
Position 1324: 7.337983395483842e-18
Position 217: 1.2936042489918223e-18
Position 207: 1.2841552191254424e-18
Position 122: 1.0334962411605285e-18
Position 348: 5.954401573308303e-19
Position 598: 3.2222693105136178e-19
Position 20: 2.2201391307193964e-19
Position 6: 3.647985403070666e-20
Position 33: 1.973415138685744e-20
Position 74: 1.4903791340489077e-20
Position 120: 3.0049747409571415e-21

Sorted 3' Splice Sites (High to Low Probability):
Position 23040: 0.7016461034927362
Position 24530: 0.2960070697336271
Position 23988: 0.19493579724791646
Position 976: 0.09626387830150865
Position 13282: 0.01737331555843334
Position 14164: 0.016449289926517983
Position 937: 0.006918281464988894
Position 704: 0.003387479466141756
Position 21106: 0.0022777320919326882
Position 996: 0.0016599143608704056
Position 1063: 0.0015153188256609672
Position 845: 0.0013929275630120551
Position 743: 0.0008811878196327593
Position 767: 0.0007534326676076729
Position 798: 0.000682560464721249
Position 628: 0.00041074888163461574
Position 1089: 0.00030473952106689145
Position 616: 0.00021333233447101636
Position 732: 0.0001395719532520207
Position 1036: 0.0001367270652199763
Position 283: 8.338884010784386e-05
Position 370: 7.169201604331304e-05
Position 17394: 2.1496684631843543e-05
Position 15571: 2.0664137603775512e-05
Position 16277: 4.179081230554621e-06
Position 13641: 2.279647105872993e-06
Position 14476: 7.764185052700197e-07
Position 13681: 4.047987956651483e-07
Position 2209: 1.4916392364225104e-07
Position 11349: 9.921761249401815e-08
Position 11024: 8.498113978799901e-08
Position 1468: 6.963962784461229e-08
Position 3302: 6.180470527597102e-08
Position 2285: 5.030969070994594e-08
Position 11213: 4.8456285925470516e-08
Position 11850: 4.376282832984485e-08
Position 1755: 4.368856149113818e-08
Position 1714: 4.366094271526902e-08
Position 2994: 2.3052292652000455e-08
Position 8391: 1.8514612208828713e-08
Position 1426: 1.708460317236635e-08
Position 8569: 1.599781958484324e-08
Position 2148: 1.558041825539922e-08
Position 2168: 1.3259246477947476e-08
Position 2777: 1.2202166421207282e-08
Position 1815: 1.1876738751287215e-08
Position 1540: 1.1679647549702296e-08
Position 1895: 9.429082502516877e-09
Position 8361: 8.441111027687614e-09
Position 3184: 8.091887480157751e-09
Position 1577: 6.5580546697394675e-09
Position 2318: 6.423047711991246e-09
Position 8902: 5.2622099576463825e-09
Position 6935: 4.860738783266127e-09
Position 2225: 4.450520599322573e-09
Position 1303: 3.220175921187499e-09
Position 1915: 3.203248094294999e-09
Position 1506: 2.7409481664357305e-09
Position 9403: 2.114731608590004e-09
Position 8472: 1.9026444330822388e-09
Position 7440: 6.515382580783919e-10
Position 8336: 2.6484086260182247e-10
Position 6307: 2.1246681111948789e-10
Position 6838: 2.1145217812641507e-10
Position 6817: 1.7834469943171428e-10
Position 5265: 1.7339982932236166e-10
Position 7912: 1.4497104591465943e-10
Position 5070: 7.086454931540537e-11
Position 3865: 5.954466302731907e-11
Position 4826: 3.130769168644058e-11
Position 496: 2.0337363089468767e-11
Position 5689: 1.9421892454839932e-11
Position 6338: 1.8673314479217432e-11
Position 4994: 1.7129433961121716e-11
Position 4866: 1.5154059446430664e-11
Position 4600: 1.369091394950488e-11
Position 3532: 1.3140713917124944e-11
Position 546: 3.1931520161843258e-12
Position 3842: 3.1898704907716022e-12
Position 1966: 1.077458101275935e-12
Position 2165: 7.718056126144613e-13
Position 1412: 7.663964651340354e-13
Position 1253: 3.842415665519327e-13
Position 2040: 3.229342785839799e-13
Position 2112: 2.799453866965126e-13
Position 2621: 1.784859647890239e-13
Position 1447: 1.6527141663551953e-13
Position 2356: 1.4219226038092444e-13
Position 1280: 1.296026300454012e-13
Position 1309: 1.0944501585718301e-13
Position 1206: 1.0774456442635062e-13
Position 1558: 1.064072683384439e-13
Position 1209: 1.0287862905465283e-13
Position 1779: 5.072668450017916e-14
Position 906: 1.8266070899389016e-14
Position 543: 1.6105064891620365e-14
Position 888: 6.1798689820607936e-15
Position 1009: 4.715249380734611e-15
Position 1084: 3.9696801208241666e-15
Position 727: 3.671939007579057e-15
Position 432: 1.9105909245746904e-15
Position 1845: 1.7993217778972695e-15
Position 236: 1.0962537413653267e-15
Position 567: 6.532524661239548e-16
Position 215: 4.51869702914362e-16
Position 899: 2.525631725919746e-16
Position 287: 1.7561611954536136e-16
Position 1098: 5.375384328880703e-17
Position 470: 8.609807082124418e-18
Position 438: 6.918326463437869e-18
Position 650: 6.796128979478025e-18
Position 157: 1.3780875370045311e-18
