Gene = Shab
Position 2226: 6.759393503898824e-08
Position 6791: 5.826228079570257e-08
Position 3159: 3.072236620943017e-08
Position 1884: 2.3998627227365456e-08
Position 8946: 2.0695419884282494e-08
Position 7467: 1.7270629499631235e-08
Position 5363: 1.7024184965041978e-08
Position 2451: 1.6463408471207834e-08
Position 2811: 1.4612865060169194e-08
Position 1727: 1.3829266728831086e-08
Position 3098: 1.3004867096664138e-08
Position 2645: 7.081008251563955e-09
Position 1489: 7.051475749737161e-09
Position 6290: 5.1375695978996995e-09
Position 3386: 4.901307263218085e-09
Position 429: 4.807433201403843e-09
Position 1023: 3.7881152684134285e-09
Position 3623: 2.578576433291854e-09
Position 5390: 2.546115568757417e-09
Position 4157: 2.392573333507594e-09
Position 2656: 2.3327253652985816e-09
Position 552: 2.24302470874876e-09
Position 1143: 1.7994331277011854e-09
Position 2054: 1.6944360658940943e-09
Position 5007: 1.6200579522056803e-09
Position 895: 1.1518337526278882e-09
Position 854: 1.1384598478131778e-09
Position 4075: 9.470346180573385e-10
Position 3412: 5.39665069072454e-10
Position 3928: 4.695417563456455e-10
Position 691: 3.3668561973741465e-10
Position 3345: 2.7778601995323326e-10
Position 4056: 2.506902966162774e-10
Position 3701: 1.7803754989123703e-10
Position 1003: 1.7355712066176748e-10
Position 1920: 1.49840180959626e-10
Position 989: 1.272210468046723e-10
Position 3328: 1.2099267880066298e-10
Position 1957: 1.1848213764504682e-10
Position 1196: 9.779824130978688e-11
Position 1935: 9.466671130943015e-11
Position 1648: 8.754081933083549e-11
Position 2383: 7.523579503934982e-11
Position 449: 5.227173997554272e-11
Position 1607: 4.650371961603306e-11
Position 953: 4.12708399817714e-11
Position 495: 4.120602372749204e-11
Position 347: 4.0856071783066646e-11
Position 3521: 2.8922969260050136e-11
Position 3313: 2.555992671081502e-11
Position 186: 2.5270466104369832e-11
Position 527: 1.81654160332075e-11
Position 729: 1.73823642663531e-11
Position 608: 1.3487115322303709e-11
Position 444: 1.1757917043488225e-11
Position 661: 1.1202633331632576e-11
Position 1047: 8.952632500586636e-12
Position 378: 7.483209609619994e-12
Position 569: 7.44852708360769e-12
Position 649: 7.139548695479641e-12
Position 283: 6.243267225052528e-12
Position 811: 3.666566139783826e-12
Position 498: 3.4623864984869156e-12
Position 2409: 3.4389588158809903e-12
Position 2608: 3.1198150664127003e-12
Position 170: 2.8403604586372617e-12
Position 779: 1.1506492677391165e-13
Position 574: 9.66429002352172e-14
Position 766: 7.779747074281142e-14
Position 668: 4.818180011567922e-14
Position 374: 4.592608572698476e-14
Position 786: 4.326060852085729e-14
Position 384: 4.3984948043486535e-15
Position 388: 2.382803402175913e-15
Position 246: 1.914990657121742e-15
Position 492: 2.383458001130152e-16
Position 678: 9.539273652840289e-17
Position 308: 6.25554413104474e-17
Position 204: 1.613453743602395e-18
