Gene = da
Position 220: 1.6592846823388192e-07
Position 783: 1.304977803278587e-07
Position 355: 1.1893926320173345e-07
Position 934: 1.1632857923360784e-07
Position 285: 1.0937155692913453e-07
Position 551: 8.973681101412414e-08
Position 841: 8.481154172551467e-08
Position 365: 5.10533050040243e-08
Position 643: 4.510563677992839e-08
Position 680: 4.00646515377532e-08
Position 456: 2.9669499478392677e-08
Position 288: 3.4689959965396056e-09
Position 478: 1.617193746788251e-09
Position 592: 3.735652888621667e-11
Position 467: 1.1424894956514299e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 1943: 0.781400366955759
Position 4718: 0.2595193100883574
Position 1265: 0.20890845923489032
Position 4919: 0.09558656020139979
Position 1707: 0.09349580628503552
Position 475: 0.012177233919674816
Position 1079: 0.010398119468218196
Position 2566: 0.008481582624918141
Position 2544: 0.007143477357602308
Position 5061: 0.005706325197771854
Position 4038: 0.004991515651503768
Position 1907: 0.004040781914569018
Position 1584: 0.0035712603411637914
Position 2004: 0.0026482723910232877
Position 4964: 0.0026451672714563
Position 1448: 0.002363684302649284
Position 4862: 0.0023390058624463347
Position 558: 0.0022872993351901886
Position 2524: 0.0022707727484862724
Position 4008: 0.0018833528083976026
Position 2212: 0.0017140302834254975
Position 1269: 0.0015743735920353702
Position 2708: 0.0014892059178049457
Position 1033: 0.0014816813553797357
Position 2323: 0.0014670105812768883
Position 1528: 0.0014501782101482266
Position 1231: 0.001237827714328336
Position 2733: 0.0012372626607175029
Position 1113: 0.001165228931724566
Position 4487: 0.0011481240448347214
Position 229: 0.0010641518620622752
Position 4412: 0.0010022585980715023
Position 1860: 0.0009993269759563219
Position 732: 0.0009348321683640419
Position 5035: 0.00082705733156718
Position 1428: 0.0007521484000523507
Position 3045: 0.0007319382365558545
Position 1084: 0.0006256263556471501
Position 1744: 0.0006216680639648723
Position 1225: 0.0006053396744533838
Position 965: 0.0005783540622416834
Position 1609: 0.0004516791523352945
Position 1606: 0.0004367138091702412
Position 1853: 0.0003560780835428033
Position 184: 0.00033637490042898454
Position 1911: 0.0003329211004831954
Position 324: 0.00030336431483742174
Position 1303: 0.00028661361675324853
Position 895: 0.00028053979015194556
Position 1661: 0.00027443501950077183
Position 668: 0.00023032429276391946
Position 1887: 0.0002302026534070595
Position 901: 0.00012921644110560954
Position 1801: 8.581591866580818e-05
Position 2096: 4.745824769561418e-05
Position 1731: 3.712211906508517e-05
Position 1967: 3.445133993463407e-05
Position 461: 3.275385306338765e-05
Position 1379: 2.411105296450882e-05
Position 704: 2.1664345046147742e-05
Position 387: 2.0800758309454666e-05
Position 942: 1.931812964794737e-05
Position 326: 1.8434246682655937e-05
Position 402: 1.813097955490298e-05
Position 974: 1.5672135590274212e-05
Position 913: 7.638993602611123e-06
Position 930: 4.125483442247947e-06
Position 793: 4.0284033129749785e-06
Position 690: 2.9133386846254168e-06
Position 856: 2.8895213599267753e-06
Position 301: 2.1017913408998347e-06
Position 235: 7.377556773971167e-07
Position 264: 5.869524367354297e-07
Position 157: 4.919559742061186e-07
Position 421: 4.38191286098746e-07
Position 783: 7.583220305221844e-08
Position 411: 1.2789006524034558e-08
Position 126: 1.7860170093771873e-10
Position 159: 1.36905559222939e-10
