Gene = sNPF
Position 26914: 0.021440810817101832
Position 27605: 0.015078809978593774
Position 27008: 0.0107934334776285
Position 27548: 0.009649835073293861
Position 26882: 0.009559612904151582
Position 27302: 0.008023264400624416
Position 26933: 0.005962514195688965
Position 27768: 0.004312325238635825
Position 27929: 0.004160956970147798
Position 27035: 0.003902219636650789
Position 27526: 0.0037167389112720654
Position 28151: 0.0024527240162384714
Position 27024: 0.002334737600014208
Position 27319: 0.0018451530631274963
Position 26921: 0.0016398545309027812
Position 27237: 0.0013477329466778265
Position 28437: 0.0009492944403747925
Position 28167: 0.000885629553432536
Position 27902: 0.0008405709168071709
Position 27849: 0.0007447198867609259
Position 18017: 2.8131814639035163e-08
Position 17622: 4.50396979620593e-09
Position 17540: 3.729739079486425e-09
Position 11615: 1.2473332499128135e-11
Position 12234: 6.768659556182225e-12
Position 12061: 2.4667993827223163e-12
Position 10956: 7.293471371538094e-13
Position 7862: 1.17461007839331e-13
Position 2329: 2.4116464511434073e-14
Position 8035: 1.9211685138761176e-14
Position 1090: 1.1961475722965612e-14
Position 552: 8.018572876964378e-15
Position 1322: 7.728940695963683e-15
Position 1940: 7.359920181981637e-15
Position 530: 5.376956630328218e-15
Position 1103: 4.676972568020238e-15
Position 1602: 3.472350389143792e-15
Position 6195: 2.1344646916670413e-15
Position 921: 1.9958799694838495e-15
Position 5394: 1.43370009262881e-15
Position 2490: 1.2826354528085015e-15
Position 2100: 8.623153301242639e-16
Position 3040: 8.049073736864115e-16
Position 669: 5.430743328331367e-16
Position 3394: 5.278621119039674e-16
Position 464: 5.276505304947431e-16
Position 555: 4.758743823041019e-16
Position 872: 4.529490542791612e-16
Position 1291: 4.470666181709992e-16
Position 1072: 4.4081348888678816e-16
Position 2303: 4.07446795770854e-16
Position 2877: 2.3317199439874445e-16
Position 790: 1.8927988633679564e-16
Position 1123: 1.7162458847994166e-16
Position 2864: 1.293487822772527e-16
Position 836: 1.1421584332076276e-16
Position 3404: 1.0017071763365269e-16
Position 733: 6.694466949526339e-17
Position 1570: 6.670704800663998e-17
Position 676: 5.963488427781897e-17
Position 931: 3.7112381937479907e-17
Position 1050: 3.142570071667938e-17
Position 1047: 2.4084205112261907e-17
Position 673: 2.1076089385241723e-17
Position 980: 1.3608085684589612e-17
Position 1161: 1.1584990294399788e-17
Position 321: 5.60645876744961e-18
Position 765: 5.269164362142887e-18
Position 1527: 2.915746818705545e-18
Position 238: 1.927158931221375e-18
Position 414: 1.7339066551935463e-18
Position 2494: 1.5672663255227312e-18
Position 878: 1.2015729652824584e-18
Position 164: 8.412487720826064e-19
Position 409: 4.71144843675646e-19
Position 327: 2.5681793829193744e-19
Position 897: 1.1696928747158477e-19
Position 1021: 7.052574416473578e-20
Position 282: 2.523985754703942e-20
Position 138: 1.4451926147535045e-20
Position 345: 4.675717464513661e-21
Position 354: 3.696459402730781e-21
Position 291: 8.598399811078495e-22
Position 153: 6.668637549069859e-22
Position 174: 5.751815080638403e-22
Position 435: 4.727935954862993e-22
Position 288: 2.469870581730466e-22
Position 307: 1.3652559103280937e-22
Position 75: 1.0363546783538591e-22
Position 427: 5.299444391039228e-23
Position 419: 1.0882869754912181e-23
Position 123: 1.7695123628529097e-24
Position 94: 1.3997794162889104e-24
