Gene = Ggamma30A
Position 1708: 8.91411074213785e-20
Position 888: 2.842243360405131e-20
Position 779: 2.5533268657724206e-20
Position 758: 2.4902437507068573e-20
Position 722: 2.3115507584388e-20
Position 558: 1.1305247462766265e-20
Position 564: 1.106093585584937e-20
Position 1112: 3.818471877840409e-22
Position 586: 4.531688543086967e-24
Position 598: 7.01430584398961e-27

Sorted 3' Splice Sites (High to Low Probability):
Position 34492: 0.999999983645883
Position 15902: 0.5208725719834074
Position 15725: 0.04702474786727723
Position 19898: 1.3036250642939256e-08
Position 16109: 1.3294687735091318e-09
Position 17368: 8.991437747462187e-10
Position 17411: 6.376357019512951e-10
Position 16168: 2.638999039524127e-10
Position 16230: 2.5953641532074365e-10
Position 16145: 1.3045938939216828e-10
Position 17144: 1.0869773113466518e-10
Position 16249: 1.0858302196372265e-10
Position 14141: 9.512954933024476e-12
Position 13573: 8.105211063293799e-12
Position 11988: 4.0893527399893464e-12
Position 13890: 2.4151237341963376e-12
Position 12770: 9.371182575129494e-13
Position 11345: 5.245693291266984e-13
Position 10323: 4.96304985920526e-13
Position 9907: 4.699714692522992e-13
Position 12388: 4.466584474921901e-13
Position 12645: 3.884148018174079e-13
Position 10262: 3.367553251503656e-13
Position 12279: 3.268679075166742e-13
Position 11943: 3.133090972154273e-13
Position 11994: 2.3525148051302386e-13
Position 374: 2.0172268960846905e-13
Position 11393: 1.964218866114727e-13
Position 11965: 1.962962150708207e-13
Position 10738: 1.7896658630729448e-13
Position 11270: 1.7870839085333356e-13
Position 1027: 1.0497402749765505e-13
Position 329: 6.01605445631565e-14
Position 10811: 3.9336367498202716e-14
Position 540: 2.420446026562815e-14
Position 332: 2.3409040760183912e-14
Position 1524: 2.181876022862964e-14
Position 179: 2.04826304007496e-14
Position 1636: 1.38912560467318e-14
Position 381: 1.254339022220925e-14
Position 193: 1.0224820108753905e-14
Position 8666: 9.974774533307949e-15
Position 2068: 7.204022470829267e-15
Position 3437: 6.202823594357073e-15
Position 1176: 6.073375043180522e-15
Position 1283: 4.954562225549886e-15
Position 1537: 4.404896356669772e-15
Position 9044: 4.25659509988639e-15
Position 349: 4.0422858545154505e-15
Position 952: 3.3854666114020673e-15
Position 2927: 2.13350676703158e-15
Position 396: 1.5987613584430557e-15
Position 4989: 1.5798070577670717e-15
Position 7763: 1.5712467106821805e-15
Position 432: 1.4996740178488099e-15
Position 1977: 1.1284350043280163e-15
Position 252: 9.342405505390433e-16
Position 1288: 9.130854577153967e-16
Position 2467: 8.140360860353396e-16
Position 4966: 5.669612941441219e-16
Position 2503: 5.26976215668125e-16
Position 7034: 4.3786938714087715e-16
Position 5968: 3.405577248073015e-16
Position 3329: 3.360075645421416e-16
Position 3904: 1.9611175717886202e-16
Position 2704: 1.7846892197033686e-16
Position 5797: 1.6127757393066507e-16
Position 4227: 1.5250956494791395e-16
Position 2351: 1.474908051535707e-16
Position 5736: 1.3223847029208099e-16
Position 3054: 6.684824718316706e-17
Position 5036: 4.660883296422041e-17
Position 5023: 4.1148180565157093e-17
Position 4032: 3.271436842647403e-17
Position 4677: 2.2323190769433116e-17
Position 3495: 1.018418856456552e-17
Position 3847: 9.173912193325189e-18
Position 3591: 6.601116109088055e-18
Position 1122: 3.539361633298192e-18
Position 873: 2.992665000679565e-18
Position 1335: 2.712115331511902e-18
Position 903: 1.8206986480010404e-18
Position 1801: 1.5094605747996618e-18
Position 1420: 1.4869497788357576e-18
Position 454: 1.2259691189664718e-18
Position 1083: 1.1665152287107987e-18
Position 1152: 8.034596893627123e-19
Position 403: 6.019241730767046e-19
Position 806: 5.305931821182644e-19
Position 722: 2.1653352756028754e-19
Position 698: 1.86627679408916e-19
Position 564: 1.3975971605039688e-19
Position 558: 1.262398304638472e-19
Position 598: 5.4119055241666834e-20
Position 615: 2.7525362189344586e-20
Position 202: 1.3814740779234084e-20
Position 446: 5.3097963366465635e-21
Position 340: 3.675822051411912e-21
Position 584: 3.617617535949919e-21
Position 414: 2.022307906132284e-21
Position 685: 1.7492613482226554e-21
Position 389: 3.8132391929194114e-23
Position 648: 6.972241488183351e-25
