Gene = NAPEPLD
Position 669: 9.208438645836554e-13
Position 503: 9.07750108654395e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 20439: 0.6760348499582914
Position 781: 0.2934818971285848
Position 1127: 0.27059333863361595
Position 1389: 0.12516277887812902
Position 11980: 0.10146224716231339
Position 13620: 0.09567042553507982
Position 1032: 0.02384212808755727
Position 2346: 0.02351457223138606
Position 10894: 0.02139798193501156
Position 709: 0.01677092049321358
Position 3266: 0.015523167852978003
Position 785: 0.014297392481280233
Position 1333: 0.012934548163442139
Position 1147: 0.010060683205810328
Position 9641: 0.009714675885604969
Position 1303: 0.009597913075368912
Position 7412: 0.008082493713625636
Position 5049: 0.007067504481018003
Position 9505: 0.006831159255128189
Position 9392: 0.005949503886431385
Position 2890: 0.0045746577211895146
Position 6032: 0.003880012904573476
Position 1199: 0.0037363851386807167
Position 5114: 0.003682633198561966
Position 7290: 0.0033959049457167405
Position 989: 0.0031261037401430934
Position 3168: 0.0025889310120274594
Position 4081: 0.002512589267435178
Position 3557: 0.002302699769255211
Position 3678: 0.002294195406742981
Position 3745: 0.0019142859992699584
Position 3884: 0.0014882138816024234
Position 6175: 0.0014729713396182328
Position 10854: 0.0013950780262655892
Position 10409: 0.0012439063895575368
Position 726: 0.0010020200194211404
Position 3114: 0.0009906750130900836
Position 3829: 0.0009192487660754254
Position 1196: 0.0009137883443392054
Position 1362: 0.000882343306154348
Position 4117: 0.0008664765117283147
Position 5485: 0.0008585339664973701
Position 4031: 0.000793419309363529
Position 1220: 0.0007275000198665823
Position 1349: 0.000713490431816222
Position 2186: 0.0006939179078877819
Position 6008: 0.0006493790732225112
Position 2554: 0.0006393063680667785
Position 413: 0.0006365778832452046
Position 2460: 0.0006351724585326382
Position 2319: 0.0005246181054824326
Position 503: 0.0005002177186234563
Position 533: 0.0004616918669830114
Position 2690: 0.00043271642479808173
Position 1858: 0.0003058949126398746
Position 1170: 0.00027659605088249065
Position 394: 0.00026068474242737724
Position 6653: 0.00024297048442963824
Position 1596: 0.00021532972987906113
Position 1527: 0.00016393492397740565
Position 1712: 0.000160131125689077
Position 2146: 0.00011989309054226811
Position 1491: 9.734798863829927e-05
Position 2012: 7.690448964888351e-05
Position 2132: 7.205831690590775e-05
Position 787: 6.578926883657296e-05
Position 1153: 6.545926376319084e-05
Position 2592: 3.336280213791364e-05
Position 1471: 2.7489357360534685e-05
Position 722: 2.7035205380680512e-05
Position 651: 2.439535768673532e-05
Position 1036: 1.992408703672619e-05
Position 1053: 1.9730588552773218e-05
Position 226: 1.8236882894888664e-05
Position 847: 1.767194530332094e-05
Position 560: 1.1129185425280797e-05
Position 3436: 1.0457599540316671e-05
Position 208: 9.625469484858776e-06
Position 800: 9.001086179716245e-06
Position 352: 8.845754372410483e-06
Position 1628: 7.3332559109474564e-06
Position 1174: 6.533355993002727e-06
Position 1693: 5.529900993141449e-06
Position 1262: 5.1118160752099954e-06
Position 1353: 2.2861351138819974e-06
Position 301: 1.3217932770799968e-06
Position 248: 9.218844675758894e-07
Position 909: 7.648775161743652e-07
Position 173: 4.940613626882933e-07
Position 347: 4.004941480866617e-07
Position 901: 6.882770888763907e-08
Position 592: 3.282504526020756e-08
Position 1405: 2.398368778594803e-08
Position 368: 1.1309551835758054e-08
Position 478: 9.069247629487384e-09
Position 315: 6.186363118769197e-09
Position 242: 2.2373842232544674e-09
Position 278: 6.880969172671437e-10
Position 323: 4.98263027082306e-11
Position 178: 1.0544592676915064e-11
