Gene = CarT
Position 2811: 0.0001335925105439627
Position 908: 0.0001296805160739114
Position 692: 0.00011288411011850835
Position 399: 8.066844132751572e-05
Position 1512: 7.372117483882787e-05
Position 2585: 6.671452206794501e-05
Position 884: 6.078681359152737e-05
Position 726: 5.79110963973301e-05
Position 2737: 5.329211959507034e-05
Position 372: 5.0630419223963786e-05
Position 2097: 4.811541158029476e-05
Position 2843: 4.795753828947271e-05
Position 2701: 3.988121096799827e-05
Position 240: 3.870639154119668e-05
Position 1857: 3.610082478958332e-05
Position 694: 3.6007534134530194e-05
Position 1063: 3.512678950628291e-05
Position 715: 3.325372002960208e-05
Position 3031: 2.0578616622442405e-05
Position 450: 1.437773252425232e-05
Position 237: 1.2569711337002755e-05
Position 351: 1.178282131583791e-05
Position 1621: 1.1482317898741081e-05
Position 742: 9.811166968187131e-06
Position 659: 8.683840333085267e-06
Position 2592: 4.907369448909699e-06
Position 441: 3.938601879066951e-06
Position 519: 2.3916643371764044e-06
Position 857: 7.06395647433833e-07
Position 80: 2.139037090647829e-07
Position 496: 6.103804015871024e-08
Position 410: 3.244500185564078e-08
Position 110: 1.717343607541275e-08
Position 435: 1.3907762511864766e-08
Position 510: 7.071332467941425e-09
Position 428: 1.7765702279413877e-09
Position 98: 1.7384154203659647e-09
Position 542: 1.3441242432913068e-09
Position 821: 3.72698133530641e-10
Position 137: 1.592951584887958e-11
