Gene = eIF2beta
Position 519: 1.0482708682491873e-05
Position 663: 1.0444645356598648e-05
Position 76: 1.0370823153438885e-05
Position 982: 9.953831784918438e-06
Position 522: 9.028442323895219e-06
Position 67: 7.870961885452383e-06
Position 1010: 7.286709014265279e-06
Position 666: 6.491194162097907e-06
Position 1178: 6.369991279894468e-06
Position 450: 5.872785493140242e-06
Position 605: 5.464875990076489e-06
Position 1223: 5.181726102240875e-06
Position 927: 5.0735791564935324e-06
Position 98: 4.6058908111563335e-06
Position 764: 4.551482638405145e-06
Position 540: 3.388511950710548e-06
Position 937: 3.3338707751375594e-06
Position 537: 3.1440223974876874e-06
Position 1172: 3.1295115906739445e-06
Position 122: 2.9620964675846657e-06
Position 941: 2.8601195452200367e-06
Position 1403: 2.5460899645708855e-06
Position 1513: 2.3912303426193944e-06
Position 1118: 2.204108085879141e-06
Position 1379: 1.948567460923239e-06
Position 1532: 1.8710791442222414e-06
Position 531: 1.6356530270495741e-06
Position 1220: 1.6330753201239109e-06
Position 438: 1.4937880187235389e-06
Position 534: 1.2250548874673905e-06
Position 1352: 1.1537917645945346e-06
Position 1109: 6.41233943042812e-07
Position 609: 5.522149676297396e-07
Position 435: 5.429121563542447e-07
Position 1406: 5.40276083909939e-07
Position 669: 3.725974511094116e-07
Position 106: 3.6661252317888496e-07
Position 140: 3.2343069300124636e-07
Position 423: 2.936652864537961e-07
Position 672: 2.796772233267085e-07
Position 949: 2.49891374131931e-07
Position 1058: 2.3716121907691712e-07
Position 618: 1.8398433498366668e-07
Position 712: 9.274999867429842e-08
Position 621: 7.483984384618189e-08
Position 289: 7.397012482664193e-08
Position 166: 3.4946667492802774e-08
Position 509: 2.852739059516389e-08
Position 612: 2.4402972864811316e-08
Position 441: 1.8046177455971793e-08
Position 726: 1.754510657745251e-08
Position 499: 1.7528898867846673e-08
Position 624: 5.404532277122253e-10
Position 472: 4.192798879214088e-10
Position 147: 4.129502496967755e-10
Position 469: 3.479917907740341e-10
Position 678: 1.7621123411009134e-10
Position 684: 1.3204261115001696e-10
Position 507: 1.1957517827655516e-10
Position 489: 1.1726656742052925e-10
Position 486: 1.011175877498336e-10
Position 739: 3.885072979743483e-11
Position 627: 3.071654329736787e-11
Position 456: 2.532892881275123e-11
Position 733: 2.100602941890148e-11
