Gene = fln
Position 1133: 0.34381095683307694
Position 261: 0.11991877326143369
Position 1378: 0.04250043170502506
Position 572: 0.039748818059564366
Position 552: 0.03471654309498341
Position 304: 0.03172344872036729
Position 954: 0.03009145918074893
Position 1593: 0.02606255311487666
Position 1291: 0.015701913945084876
Position 596: 0.014391004386725014
Position 1354: 0.010377154796511006
Position 1633: 0.006929003361570655
Position 1139: 0.006913305828128136
Position 1573: 0.006049999912702734
Position 428: 0.005020894108724647
Position 1247: 0.003842394603495556
Position 1230: 0.002630165898159106
Position 1382: 0.002423624252231001
Position 1167: 0.002309344893090959
Position 173: 0.0020746112253119185
Position 115: 0.001890406250786824
Position 602: 0.00104139881575964
Position 1322: 0.0009220394376803206
Position 605: 0.0009167407757308259
Position 517: 0.0008377041531614227
Position 1332: 0.0007746528094812398
Position 159: 0.0005164283054091751
Position 1266: 0.0005155800068915051
Position 686: 0.00044274231912414056
Position 92: 0.0004387688148098456
Position 829: 0.0002165837040597541
Position 1033: 0.00013192611855010532
Position 712: 9.203879145363181e-05
Position 471: 9.028091930159785e-05
Position 453: 5.8913908495771766e-05
Position 192: 5.8157037084117934e-05
Position 185: 5.413514593644224e-05
Position 450: 5.18237370972728e-05
Position 816: 4.7467741887875567e-05
Position 1598: 4.1751529350688324e-05
Position 658: 4.0295964888087045e-05
Position 397: 3.519278678887256e-05
Position 311: 2.929274389111298e-05
Position 122: 2.759560442195115e-05
Position 803: 1.9661571007566527e-05
Position 319: 1.3590882818506297e-05
Position 720: 1.2569421288489064e-05
Position 534: 1.2025284088270773e-05
Position 637: 1.1926364690810464e-05
Position 210: 9.900159679533439e-06
Position 874: 9.001989941699946e-06
Position 643: 7.319221811025894e-06
Position 368: 5.027857249315117e-06
Position 800: 3.7923124683262936e-06
Position 634: 2.85915669662594e-06
Position 770: 2.718818126782008e-06
Position 109: 2.5760251176463166e-06
Position 1107: 2.253760579483785e-06
Position 66: 2.1905642353479584e-06
Position 71: 1.8228775139252505e-06
Position 379: 1.5612623166607557e-06
Position 212: 1.475782826116437e-06
Position 1104: 1.4036898365504636e-06
Position 640: 1.380494526820524e-06
Position 1007: 1.297043213744858e-06
Position 52: 9.63066598609434e-07
Position 922: 8.934805389764308e-07
Position 457: 7.581649663619487e-07
Position 849: 5.995678372511603e-07
Position 1208: 3.97169958090506e-07
Position 1026: 1.0757555209827416e-07
Position 201: 1.7474394962759315e-08
Position 1071: 1.7301366737879072e-08
