Gene = NimC2
Position 436: 1.4264400686219959e-06
Position 432: 1.4169586023850126e-06
Position 301: 8.514064592383391e-07
Position 652: 7.114070252879468e-07
Position 149: 2.6730323067144665e-07
Position 144: 6.730929322473174e-08
Position 1814: 2.158593591892431e-08
Position 793: 2.0342097181801867e-08
Position 319: 1.6031357595003296e-09
Position 314: 3.9854776430258537e-10
Position 112: 3.3435401436739495e-10
Position 153: 2.0243849948961808e-11
Position 583: 9.462110710603264e-12
Position 56: 7.319366654837759e-12
