Gene = S
Position 865: 8.998068653548356e-10
Position 1060: 8.195939669079615e-10
Position 845: 3.3348131824198814e-10
Position 25734: 7.415127685986516e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 24761: 0.9997104789672459
Position 25319: 0.9996957127744577
Position 25549: 0.991999517453662
Position 15601: 0.6219803109717275
Position 26978: 0.06612376389070201
Position 27541: 0.044547186690044344
Position 4998: 0.04356951189393281
Position 27519: 0.04320015416789124
Position 27019: 0.0410118329057065
Position 14354: 0.03815299566028561
Position 6178: 0.03545954432034632
Position 14912: 0.03376339270206219
Position 5586: 0.02978213119947863
Position 4726: 0.017762779392167787
Position 26467: 0.016461773144860956
Position 26712: 0.01547177436317423
Position 27585: 0.00823334962570402
Position 4542: 0.00800207593566575
Position 27793: 0.0062536297734116005
Position 26274: 0.0062336779415632015
Position 25558: 0.005923918370253213
Position 27601: 0.005273120795633939
Position 4584: 0.005261745934698693
Position 5262: 0.0046093186907515075
Position 4069: 0.004400967326669197
Position 4762: 0.0035586321342504636
Position 5188: 0.003213803007764736
Position 5434: 0.0031328034321612386
Position 26776: 0.003052628875180685
Position 6184: 0.0017370618939309534
Position 27831: 0.0015610819380297762
Position 26289: 0.0014421348216394783
Position 27942: 0.0014411210817442555
Position 4802: 0.0013581002195389915
Position 27232: 0.001280730729631099
Position 28002: 0.0010098518117743719
Position 5600: 0.0009749685024218065
Position 4121: 0.0009484594343998179
Position 26389: 0.0007401045224734764
Position 3668: 0.0007225394413819908
Position 27703: 0.0007188210737461796
Position 27499: 0.0006239241131360686
Position 27538: 0.0006237974021897184
Position 4871: 0.0005741225988683075
Position 5759: 0.000566226677808209
Position 27114: 0.0005251045480764711
Position 4219: 0.0005036371732315449
Position 28137: 0.0004602197260367494
Position 4201: 0.00034446910462952284
Position 26724: 0.00029445290514884965
Position 26478: 0.0002861204896547886
Position 804: 0.00026948453772894916
Position 27974: 0.00026845973064518907
Position 26645: 0.0002596945142739519
Position 27480: 0.00022239497296240557
Position 26755: 0.00020407622769020195
Position 863: 0.0002014183836416698
Position 5084: 0.00019894126082244579
Position 26483: 0.00014977852434676866
Position 26936: 0.00013370491870696123
Position 5228: 0.00011582614026373728
Position 26040: 0.00010659201302175594
Position 25714: 9.327690253654682e-05
Position 664: 9.278216551976549e-05
Position 25768: 9.239736553682107e-05
Position 26247: 8.447704469951835e-05
Position 27353: 8.363853518503981e-05
Position 25911: 7.962563464290868e-05
Position 2919: 6.770452037960578e-05
Position 5033: 6.700045264724193e-05
Position 28006: 5.053748773875531e-05
Position 825: 4.0831727415029554e-05
Position 3397: 3.204060371342351e-05
Position 27178: 3.05594130927148e-05
Position 26519: 3.0266829213943808e-05
Position 455: 2.933807729033051e-05
Position 5271: 2.8587422095748174e-05
Position 2811: 2.850616695198792e-05
Position 1713: 2.7919475273706063e-05
Position 3164: 2.706913135407874e-05
Position 27042: 2.698415448550047e-05
Position 1407: 2.273493071475694e-05
Position 395: 1.912465320353061e-05
Position 816: 1.8633333485811085e-05
Position 26487: 1.6943846739262084e-05
Position 567: 1.5978044805897618e-05
Position 25805: 1.5406334329755817e-05
Position 5023: 1.3029795037981594e-05
Position 26173: 1.2547908789323004e-05
Position 26161: 1.249390903570932e-05
Position 1173: 1.1808970895744568e-05
Position 25577: 1.1663769251816165e-05
Position 26423: 1.059402835762616e-05
Position 5504: 9.722759162384765e-06
Position 1702: 9.36336317876494e-06
Position 4974: 8.87072899143259e-06
Position 980: 8.43445060223742e-06
Position 25777: 8.265737057310118e-06
Position 1815: 7.3826013230569326e-06
Position 25653: 6.398894286507781e-06
Position 25751: 5.9357222375091564e-06
Position 3234: 5.071397507174761e-06
Position 2619: 4.9521676380802415e-06
Position 390: 4.851040504682691e-06
Position 1871: 4.426630976327049e-06
Position 535: 4.081735468316463e-06
Position 878: 2.5021297926997333e-06
Position 907: 2.055678970506691e-06
Position 1513: 1.8774387272851282e-06
Position 219: 1.8027188234641144e-06
Position 1528: 1.6702532209734395e-06
Position 3749: 1.6436997650421017e-06
Position 609: 1.608909892829463e-06
Position 2096: 1.4724563185821183e-06
Position 2050: 1.2831695705308544e-06
Position 4038: 1.1618762984588496e-06
Position 3092: 1.0447658397440414e-06
Position 3746: 1.0351334023068174e-06
Position 26199: 9.22021949616237e-07
Position 465: 5.474844479081167e-07
Position 890: 4.991135588870271e-07
Position 1045: 4.870262624770705e-07
Position 181: 2.3709900120268194e-07
Position 894: 1.5376006226963894e-07
Position 865: 1.4674167813635653e-07
Position 1023: 3.381989004842745e-08
Position 25612: 3.10823351373774e-08
Position 25728: 8.303598676230327e-09
Position 25734: 7.67176914187872e-09
