Gene = Df31
Position 702: 0.0001806593284483205
Position 1046: 0.00017463031280678655
Position 2069: 0.00016659164457028566
Position 3349: 0.00015703123167554485
Position 270: 0.00013089479055828585
Position 2321: 0.00012764576207193677
Position 1382: 0.00012628377876816826
Position 462: 0.00012495811792182773
Position 2460: 0.00012042246229634483
Position 2667: 0.00011462607346682388
Position 208: 0.00011095982258735354
Position 191: 0.00010856858463921753
Position 24: 9.853310027621005e-05
Position 733: 9.31213689211556e-05
Position 309: 9.046254470091776e-05
Position 30: 8.417445422044714e-05
Position 2919: 8.132613511125315e-05
Position 3508: 6.809043140463735e-05
Position 1500: 6.502018277721285e-05
Position 3128: 5.484456655750072e-05
Position 1799: 5.2980322442014696e-05
Position 1108: 4.959257578900896e-05
Position 651: 3.908812588269284e-05
Position 3372: 3.873024725204103e-05
Position 1148: 3.659481672015786e-05
Position 2783: 3.613845223595439e-05
Position 2904: 3.2817819116100056e-05
Position 3461: 3.2034221573615865e-05
Position 3444: 2.6973347590322804e-05
Position 3433: 2.490173117558497e-05
Position 2468: 2.4239561068096025e-05
Position 3086: 2.029847975875955e-05
Position 397: 1.5188324841084254e-05
Position 124: 1.3270059006746873e-05
Position 2536: 8.855178430505696e-06
Position 2479: 7.8351625833027e-06
Position 2207: 6.516171397441265e-06
Position 1924: 6.090274774538869e-06
Position 2552: 5.859689383775101e-06
Position 38: 4.997779731680075e-06
Position 1722: 4.688235461822017e-06
Position 395: 4.575984983454783e-06
Position 354: 4.179095126480587e-06
Position 300: 3.2250964025157644e-06
Position 1937: 3.111217750761841e-06
Position 906: 2.1321409907895026e-06
Position 158: 1.794750711654707e-06
Position 2755: 1.657662887315707e-06
Position 2767: 1.5439218675966707e-06
Position 2752: 1.172154621123123e-06
Position 570: 1.1243949876718057e-06
Position 2491: 1.023808950514025e-06
Position 183: 9.015784327212782e-07
Position 3113: 4.817234767727793e-07
Position 683: 4.1814263084045835e-07
Position 141: 3.641816047343682e-07
Position 14: 3.511340775783515e-07
Position 666: 3.3875031980665545e-07
Position 653: 2.7446963927739276e-07
Position 568: 2.6454125282711174e-07
Position 2943: 2.6137939365699353e-07
Position 1853: 2.061394296329888e-07
Position 1833: 1.28067233609907e-07
Position 2417: 8.671807484533236e-08
Position 1745: 8.643116037752186e-08
Position 706: 8.128822107802947e-08
Position 32: 7.627349913123899e-08
Position 249: 7.2244308171835e-08
Position 643: 3.3201823284835907e-08
Position 593: 2.3781093860524527e-08
Position 720: 2.326028379804104e-08
Position 2195: 1.9560447221189596e-08
Position 286: 1.4557061080674505e-08
Position 464: 1.2138694110437099e-08
Position 2441: 7.529711814936656e-09
Position 2967: 5.033488414859698e-09
Position 193: 4.16024302817925e-09
Position 588: 3.5152411643045285e-09
Position 2240: 2.249941663569216e-09
Position 485: 5.45873143397226e-10
Position 502: 3.8366152655561806e-10
Position 688: 2.74139385281473e-10
Position 418: 2.9864888785975675e-12
Position 433: 1.3562460122626076e-12
Position 441: 1.799018830379382e-13
Position 436: 1.1996308612276105e-15

Sorted 3' Splice Sites (High to Low Probability):
Position 2174: 0.9992755993281688
Position 1722: 0.6154994951929159
Position 1618: 0.16284183444069555
Position 2429: 0.11251150360597481
Position 3578: 0.0839345209212112
Position 453: 0.05240065106170424
Position 922: 0.024991621246122756
Position 1083: 0.02061652256616962
Position 1198: 0.017440563360607977
Position 3431: 0.012135549240154716
Position 3394: 0.01155889047868459
Position 1439: 0.010522760572152404
Position 3136: 0.008157719426542406
Position 1635: 0.007113656602950983
Position 1044: 0.005466537169835708
Position 987: 0.00463670195553603
Position 785: 0.0036383466531627108
Position 3196: 0.003340292633773651
Position 329: 0.003250160275070111
Position 3184: 0.002914313087330948
Position 1620: 0.0026413574342026794
Position 958: 0.002570517651258615
Position 2960: 0.002510297127252334
Position 2408: 0.0018102632138035774
Position 2943: 0.0017692597899933839
Position 1579: 0.001764402636500006
Position 1275: 0.00173328253305005
Position 2662: 0.001475635010753977
Position 1585: 0.0014295176329088477
Position 315: 0.0014197321942344022
Position 981: 0.0013079309459367008
Position 3494: 0.001228370202472743
Position 1744: 0.00120941920798653
Position 433: 0.0011812226769950097
Position 369: 0.0011686769193640888
Position 906: 0.000832335212610729
Position 1100: 0.0007552095246824009
Position 3407: 0.0007457090550170074
Position 3474: 0.0007442264560700202
Position 155: 0.0006992753255029162
Position 2977: 0.0006089742647920139
Position 3250: 0.000572927755437645
Position 3071: 0.000559437033902801
Position 1658: 0.00046804530382915264
Position 1653: 0.00044971690461251355
Position 903: 0.0004243584091683861
Position 1372: 0.0004119370728959073
Position 1632: 0.00035232046232578046
Position 1774: 0.0003135026433426488
Position 183: 0.0002734119536224427
Position 1957: 0.00022614712262004425
Position 2744: 0.0002058711677591673
Position 1414: 0.00019811448291307592
Position 744: 0.00017948129991323446
Position 1321: 0.00016316236367640942
Position 1778: 0.00016306794690756137
Position 2667: 0.00012224601871894386
Position 2398: 0.00012007299593016023
Position 1237: 9.355548841871158e-05
Position 230: 8.734800733964834e-05
Position 2919: 8.38568410082327e-05
Position 573: 7.869443802545281e-05
Position 813: 7.348319203092888e-05
Position 2684: 7.140704912702634e-05
Position 658: 5.6795471414547346e-05
Position 1686: 5.494407204040908e-05
Position 3037: 5.415962298017943e-05
Position 2544: 5.2119281986324e-05
Position 2689: 4.774568773901542e-05
Position 541: 4.523748212770316e-05
Position 3410: 3.562503807858035e-05
Position 2536: 3.172184198249316e-05
Position 2200: 2.5349030271927652e-05
Position 2765: 2.2910610999964225e-05
Position 2720: 2.0953263679401946e-05
Position 3347: 1.8137064756699805e-05
Position 609: 1.5454464285097728e-05
Position 85: 1.4784078607836609e-05
Position 2996: 1.3709943414857454e-05
Position 1121: 7.058125268014219e-06
Position 792: 6.08588873017577e-06
Position 2710: 5.664098468146015e-06
Position 101: 5.233302428820718e-06
Position 217: 6.595336783179125e-07
Position 2833: 4.0159082416338584e-07
Position 2206: 1.0413522499907813e-07
Position 625: 9.807976938644858e-08
Position 90: 9.585541141633751e-08
Position 99: 5.775686439935315e-08
Position 632: 5.633190870174007e-08
Position 263: 1.1753324787866507e-08
Position 266: 4.7560335833661155e-09
Position 593: 2.6697833729983876e-09
Position 65: 9.30760992643864e-10
Position 73: 5.4771085843673555e-11
Position 257: 4.532836598600956e-13
Position 270: 2.490585071270367e-16
