Gene = mtDNA-helicase
Position 1294: 3.241589656611553e-08
Position 1147: 2.5012840832637082e-08
Position 1120: 2.154671762000071e-08
Position 441: 1.2532778092373487e-08
Position 992: 9.754505700139393e-09
Position 229: 6.096906371307069e-09
Position 1585: 4.678610856004008e-09
Position 1381: 1.5865282981847521e-09
Position 989: 1.46693356606607e-09
Position 1032: 1.3849207676369765e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 376: 0.9006372566768385
Position 983: 0.6644241324984035
Position 859: 0.18500389107947296
Position 441: 0.06800141858129213
Position 801: 0.050734751850092734
Position 1397: 0.00621006411200989
Position 422: 0.00616679832561308
Position 1772: 0.005287765097259681
Position 1015: 0.005134334240515211
Position 878: 0.004104734409360782
Position 2150: 0.003782641390442233
Position 1028: 0.003270155986754032
Position 221: 0.0027030052902621304
Position 1630: 0.0019937483316594122
Position 1798: 0.001426396330007794
Position 1837: 0.0012164153286620158
Position 1459: 0.0010383474722700315
Position 1627: 0.0010087814799458164
Position 864: 0.001001540812518376
Position 1759: 0.0009081402061792219
Position 1126: 0.000869623593463514
Position 922: 0.0006197778696701118
Position 2155: 0.0004696765039599429
Position 1580: 0.0004512584547701531
Position 477: 0.00044799631744855636
Position 1058: 0.0003785957091962312
Position 663: 0.00036038556755436544
Position 627: 0.0003507581884975721
Position 201: 0.00033331893320774354
Position 450: 0.00029527825234621033
Position 1343: 0.0002454012894845353
Position 586: 0.00022583723248798026
Position 1095: 0.00019954277175785696
Position 948: 0.00018062854681418205
Position 1364: 0.0001752746830929268
Position 541: 0.00017169063364548784
Position 1290: 0.00016326054570679234
Position 1089: 0.00013972210322940845
Position 1883: 0.0001377403754007165
Position 893: 0.00012765232453903957
Position 1840: 9.710949189117241e-05
Position 356: 9.598808933727197e-05
Position 465: 8.312825503719837e-05
Position 250: 7.763756096208924e-05
Position 1528: 7.552284180987959e-05
Position 2121: 4.18642823082546e-05
Position 111: 3.3800231317874226e-05
Position 936: 3.0425098484826167e-05
Position 227: 2.960239071535968e-05
Position 651: 2.809554923295973e-05
Position 932: 2.6823381247730333e-05
Position 1975: 2.6581915337405347e-05
Position 2162: 2.524431278277036e-05
Position 1354: 2.027192674034978e-05
Position 1739: 1.8303250255907737e-05
Position 830: 1.6454048599442886e-05
Position 1106: 1.621807663928588e-05
Position 1957: 1.5941402432923406e-05
Position 837: 1.5298263348841118e-05
Position 1243: 1.3865037299529932e-05
Position 1954: 1.3267861285287683e-05
Position 1846: 1.2505401656021442e-05
Position 2047: 1.1347124293985018e-05
Position 646: 9.335843792462527e-06
Position 1925: 9.192829446654461e-06
Position 128: 8.821006444637093e-06
Position 1747: 6.030489851255013e-06
Position 483: 5.969005987289957e-06
Position 379: 5.950025515271703e-06
Position 594: 5.947707384244127e-06
Position 707: 5.431198669669728e-06
Position 1137: 5.274882819116327e-06
Position 141: 5.223680360967414e-06
Position 2024: 5.151054438284547e-06
Position 564: 4.796341384940162e-06
Position 1030: 4.4863209404279395e-06
Position 275: 4.041566057826849e-06
Position 173: 4.026672965140658e-06
Position 606: 3.7851241292269275e-06
Position 713: 3.522014278093647e-06
Position 254: 3.114088693678369e-06
Position 702: 2.903307519890081e-06
Position 555: 2.6186473916678354e-06
Position 167: 1.3709522589132634e-06
Position 531: 1.165113375568393e-06
Position 763: 9.374916934126723e-07
Position 589: 8.412111750254826e-07
Position 612: 6.426847976510815e-07
Position 754: 6.200652919596574e-07
Position 149: 5.168798043518166e-07
Position 152: 3.7306030861238824e-07
Position 690: 3.3156662630768095e-07
Position 567: 1.5870165805799726e-07
Position 479: 1.2208049266416817e-07
Position 91: 3.464268626463455e-08
Position 819: 2.4106289694408523e-08
Position 182: 2.0272269527829882e-08
Position 704: 1.6414305251679967e-08
Position 311: 8.467840175830701e-09
Position 767: 1.899472004232019e-09
Position 131: 1.4585049338115272e-09
Position 323: 1.1724784446283808e-12
Position 869: 1.002272446514739e-14
Position 325: 2.0170222212047262e-18
