Gene = Aatf
Position 424: 4.735105888960012e-05
Position 967: 4.68337862330419e-05
Position 605: 3.902810311882831e-05
Position 612: 3.4998699723520505e-05
Position 1638: 3.421355933148708e-05
Position 583: 3.351343473554415e-05
Position 547: 2.3011125315534053e-05
Position 295: 2.1944997609990248e-05
Position 430: 2.1079385059218586e-05
Position 327: 1.8176775156452542e-05
Position 554: 1.476633569480243e-05
Position 647: 1.4672171445468993e-05
Position 1230: 1.2019050701853755e-05
Position 904: 1.1938570217519747e-05
Position 168: 1.0594374604264965e-05
Position 814: 1.0510384621484367e-05
Position 267: 8.018872108191639e-06
Position 855: 7.124766264122349e-06
Position 602: 7.0488529460159595e-06
Position 319: 6.932524345519202e-06
Position 1369: 6.61292540552525e-06
Position 1614: 5.786112371075341e-06
Position 806: 4.668666584951584e-06
Position 889: 3.876140686316878e-06
Position 314: 2.331055883963626e-06
Position 497: 1.5337337959813094e-06
Position 868: 1.4731644514986515e-06
Position 598: 1.3919743412301799e-06
Position 659: 1.069143497801301e-06
Position 616: 9.690690391441857e-07
Position 1562: 4.804648712422167e-07
Position 373: 1.4781556505838086e-07
Position 386: 9.929590597451132e-08
Position 232: 7.610140206823567e-08
Position 324: 7.341470529744485e-08
Position 173: 7.055811008339203e-08
Position 626: 2.6718516938788685e-08
Position 283: 3.418843766430931e-09
Position 135: 2.0284824732717157e-09
Position 397: 1.5687905895442957e-09
Position 358: 1.4914962142232977e-09
Position 229: 1.4577006735814153e-09
Position 390: 7.475919901327178e-10
Position 352: 6.88771388780379e-10
Position 175: 6.632411922387411e-10
Position 1479: 4.1651457016279073e-10
Position 223: 1.939368071282299e-10
Position 139: 1.3506177869351585e-10
Position 226: 4.284589585993823e-11
Position 452: 3.563211358435772e-11
Position 406: 2.7770688597335795e-11
Position 255: 1.916272672508923e-11
Position 371: 1.8786576785282594e-11
Position 127: 1.1930002148465479e-11
Position 271: 7.927361155113142e-12
Position 446: 7.789958904969104e-12
Position 300: 5.1827037968325335e-12
Position 443: 3.6208492644677034e-12
Position 334: 6.696284183484102e-13
Position 337: 6.458369616510465e-13
Position 162: 1.395473297139071e-13
Position 273: 2.0395848713228236e-20
