Gene = sick
Position 1063: 7.616764431734182e-05
Position 5359: 6.067451668318105e-05
Position 5533: 5.4949746524463894e-05
Position 751: 5.456316969107222e-05
Position 657: 5.308388952376672e-05
Position 1415: 5.0858147591087545e-05
Position 15932: 4.8029428480512285e-05
Position 640: 4.4499030288190937e-05
Position 679: 4.2699111553854816e-05
Position 2191: 3.961825506696925e-05
Position 769: 3.639407657167574e-05
Position 1452: 3.624964944228742e-05
Position 1892: 3.1811115703705607e-05
Position 689: 2.6421752379799298e-05
Position 458: 2.4464862083134833e-05
Position 344: 2.3396187970324135e-05
Position 6274: 2.066257688475448e-05
Position 1139: 1.6838438493843317e-05
Position 137: 1.5281912832206025e-05
Position 5698: 1.0843785984413817e-05
Position 4500: 7.803406496883818e-06
Position 19249: 2.9546975385054716e-06
Position 14225: 1.7310265740223941e-06
Position 11266: 6.702054784357627e-07
Position 18029: 4.264895849873198e-07
Position 2393: 2.014341072025344e-07
Position 4120: 1.1231106868568156e-07
Position 6924: 3.773494479266836e-08
Position 3188: 2.484001450096241e-08
Position 14833: 7.71113160324389e-09
Position 1486: 6.812702009812513e-09
Position 206: 6.466981467582219e-09
Position 1577: 6.19314069759471e-09
Position 885: 4.8677988423111334e-09
Position 16502: 4.04405799757551e-09
Position 839: 2.9340363119489163e-09
Position 134: 2.6780413899471384e-09
Position 4620: 2.3454309965326766e-09
Position 1698: 2.310693678009962e-09
Position 606: 2.265198843059947e-09
Position 1167: 1.5713108343592563e-09
Position 2119: 1.5549135479824373e-09
Position 5661: 1.544832270692823e-09
Position 1971: 1.5400644452446112e-09
Position 1821: 1.3922395133338365e-09
Position 12148: 1.2436008700107751e-09
Position 15336: 1.1886896654961653e-09
Position 555: 8.783243819654595e-10
Position 558: 7.781276670677441e-10
Position 1127: 7.432215787866172e-10
Position 1916: 7.047352820148555e-10
Position 12329: 5.049229661013162e-10
Position 424: 4.784650353205001e-10
Position 2069: 4.654067799904719e-10
Position 808: 4.446002101809494e-10
Position 5501: 4.166834455566672e-10
Position 14137: 4.0393860201173915e-10
Position 13312: 3.3803155078216854e-10
Position 433: 3.371821051940216e-10
Position 13027: 3.10938037621906e-10
Position 1276: 2.9317498336461617e-10
Position 14298: 2.613450009617616e-10
Position 1613: 2.2666492056015965e-10
Position 11952: 2.1022769891154831e-10
Position 13714: 2.0688916960749093e-10
Position 1919: 1.888487877208556e-10
Position 12166: 1.8080638679631136e-10
Position 13471: 1.667144206064475e-10
Position 13139: 1.2022233868469114e-10
Position 11535: 1.0199929081431842e-10
Position 11429: 8.256884612421352e-11
Position 430: 7.143363694536607e-11
Position 13168: 6.911128329582198e-11
Position 12959: 5.624635581869326e-11
Position 12513: 5.380802976052568e-11
Position 439: 3.7936770551173555e-11
Position 12124: 3.1592974478650435e-11
Position 788: 3.096765447673768e-11
Position 12199: 2.3415313243053488e-11
Position 11357: 2.2477556806050126e-11
Position 663: 1.7596447185935933e-11
Position 11316: 1.2823664693013943e-11
Position 8351: 1.124123416561554e-11
Position 436: 9.452480085114268e-12
Position 1497: 8.384597930268239e-12
Position 11376: 7.262910842466462e-12
Position 1023: 5.43708626261414e-12
Position 1029: 4.9532762398372185e-12
Position 877: 4.7629901001317694e-12
Position 936: 3.3893939427961e-12
Position 77: 2.578678700310051e-12
Position 334: 1.6270809542549802e-12
Position 8651: 1.3731833603973028e-12
Position 8290: 8.290619942908154e-13
Position 9346: 7.177223164575301e-13
Position 8200: 5.591573001322385e-13
Position 9343: 4.927320947888101e-13
Position 668: 4.922222259442969e-13
Position 7429: 3.866356281050406e-13
Position 8483: 1.9346805363222534e-13
Position 92: 1.8257860095774551e-13
Position 153: 1.6304383125770963e-13
Position 53: 1.5925586421675861e-13
Position 6847: 1.4241580133097615e-13
Position 6852: 1.3388837190849202e-13
Position 4717: 8.28418933479592e-14
Position 7825: 7.914523661235495e-14
Position 95: 5.466583492678459e-14
Position 5830: 3.998320513023709e-14
Position 146: 3.234216486735645e-14
Position 6717: 2.5352218264937407e-14
Position 6406: 2.4261486654978206e-14
Position 162: 1.5830374184148606e-14
Position 6161: 1.493596177644793e-14
Position 4075: 1.3843261445560291e-14
Position 6434: 1.2897034611251805e-14
Position 5384: 8.019145809655452e-15
Position 4872: 2.9429782755996576e-15
Position 4955: 2.7004530535959772e-15
Position 5024: 2.4984128715624986e-15
Position 2840: 1.5982908936231307e-15
Position 4615: 1.356088682937702e-15
Position 2767: 1.2747797630691322e-15
Position 2808: 8.044864820769318e-16
Position 2772: 6.803862110101534e-16
Position 2819: 4.627872984556905e-16
Position 3037: 3.931144382801197e-16
Position 3505: 3.6943497497095514e-16
Position 2716: 2.1655386057585178e-16
Position 771: 3.7169027258203914e-18
Position 157: 1.0267479051373306e-28
