Gene = Lrr47
Position 692: 0.04122948928494858
Position 1220: 0.019159777711042436
Position 1712: 0.009381502191182283
Position 581: 0.0067663966477525045
Position 372: 0.005671482147172288
Position 996: 0.00316300274885336
Position 1447: 0.0015135019660927767
Position 736: 0.00110784901197599
Position 405: 0.0010392965549735852
Position 793: 0.0008133946566646018
Position 1885: 0.0007987748248099145
Position 483: 0.0007067709359807071
Position 1780: 0.000659807571744327
Position 1464: 0.0004102116892370312
Position 1801: 0.000402228924183946
Position 486: 0.00037820413138530995
Position 1657: 0.0003192434764918941
Position 706: 0.0002970632668161143
Position 1386: 0.00018416849599788606
Position 1471: 0.00017856220892465983
Position 96: 0.00017136989978576108
Position 585: 0.00015181158039901294
Position 135: 0.00014794087016264604
Position 1911: 0.00014152938880236755
Position 114: 0.00014129053996505804
Position 1721: 0.00010708199438941463
Position 1242: 0.00010616195831871276
Position 309: 8.079005879276439e-05
Position 414: 7.102262109240576e-05
Position 394: 6.66236448294349e-05
Position 355: 6.267949435345193e-05
Position 1075: 6.11223897733163e-05
Position 1088: 5.945866050483294e-05
Position 1661: 5.9009456735561796e-05
Position 1753: 5.408545900292145e-05
Position 1888: 4.970321046341032e-05
Position 1688: 4.4146359634926894e-05
Position 1685: 4.3393333330405374e-05
Position 1341: 3.468924719458188e-05
Position 1664: 3.456607137146127e-05
Position 109: 2.8200200346475596e-05
Position 1163: 2.4313803261997878e-05
Position 540: 2.0038266142788946e-05
Position 1117: 1.4888182445510904e-05
Position 327: 1.3067369490970926e-05
Position 971: 1.2478286927633327e-05
Position 432: 1.1786505901813223e-05
Position 633: 1.0897635371086569e-05
Position 1306: 9.919753592456373e-06
Position 492: 9.672773960970435e-06
Position 245: 8.427532231785009e-06
Position 1788: 8.261098464871874e-06
Position 1294: 8.175311517590012e-06
Position 515: 7.172081887307003e-06
Position 1099: 6.053494496414958e-06
Position 901: 5.967657542697337e-06
Position 1230: 4.921250175638428e-06
Position 1273: 4.046309171998924e-06
Position 1327: 3.2909892362071303e-06
Position 50: 3.097974398990384e-06
Position 186: 2.973902448887967e-06
Position 222: 2.3417600457530377e-06
Position 701: 1.9677779748118925e-06
Position 449: 1.6734637333559188e-06
Position 1839: 1.590445044590727e-06
Position 589: 1.3949113721513186e-06
Position 498: 1.3851121261514214e-06
Position 276: 1.0401019336096525e-06
Position 519: 8.960386755814824e-07
Position 219: 7.97943990765973e-07
Position 191: 6.791615238408737e-07
Position 258: 3.657507681239762e-07
Position 282: 3.181562684263553e-07
Position 594: 1.8718670115282237e-07
Position 644: 1.566431326328441e-07
Position 225: 5.3757956076414995e-08
Position 606: 3.039778632046275e-08
Position 197: 1.3567821568392364e-08
Position 680: 3.803185721125637e-10
